idx,x,y,z
0,30.6,-50.4,13.0
1,28.3,-48.6,12.8
2,28.5,-45.7,12.8
3,28.4,-44.1,12.0
4,29.9,-42.7,11.6
5,29.7,-41.5,10.6
6,29.3,-40.8,9.4
7,31.6,-39.2,8.4
8,31.8,-38.4,6.5
9,34.8,-38.0,3.6
10,36.3,-38.8,2.2
11,36.4,-40.5,0.6
12,39.1,-41.3,-1.7
13,37.7,-43.0,-2.4
14,39.1,-43.3,-4.0
15,38.6,-44.0,-4.6
16,37.9,-45.5,-4.8
17,38.5,-46.3,-5.0
18,37.5,-48.3,-5.5
19,36.4,-50.9,-4.6
20,32.6,-53.1,-2.9
21,26.8,-54.9,-1.3
22,27.2,-53.9,-1.1
23,23.8,-54.1,-2.3
24,24.6,-53.2,0.7
25,22.8,-53.7,-0.6
26,22.5,-53.7,0.1
27,21.4,-53.4,0.3
28,20.6,-53.1,0.3
29,20.4,-53.0,0.4
30,20.2,-52.9,0.1
31,20.7,-52.9,-0.1
32,21.3,-53.2,-0.5
33,22.4,-53.5,-0.9
34,24.3,-53.5,-1.5
35,25.8,-53.6,-2.1
36,27.2,-53.4,-1.4
37,28.4,-53.1,-1.7
38,28.4,-52.6,-1.3
39,30.5,-50.3,-1.1
40,31.0,-48.1,-0.7
41,32.5,-44.8,0.6
42,34.0,-41.4,-1.2
43,31.8,-39.4,0.0
44,34.8,-36.0,0.0
45,34.4,-34.6,-1.1
46,38.6,-32.7,-0.3
47,40.4,-32.4,-2.5
48,41.0,-35.1,0.4
49,41.3,-36.4,-1.4
50,38.3,-38.0,-1.9
51,36.6,-39.6,-3.6
52,33.7,-40.1,-7.1
53,32.1,-40.3,-7.2
54,31.7,-39.1,-8.3
55,29.1,-39.5,-11.0
56,31.2,-38.4,-10.8
57,31.3,-38.3,-11.0
58,33.5,-37.7,-11.2
59,41.4,-37.4,-14.0
60,44.8,-41.5,-11.7
61,52.9,-45.9,-6.6
62,50.8,-49.6,-2.2
63,47.2,-48.7,3.1
64,45.6,-47.7,5.3
65,38.7,-45.9,6.0
66,41.4,-41.1,6.5
67,41.0,-40.4,5.2
68,44.0,-42.9,7.0
69,42.7,-45.5,6.2
70,33.6,-51.9,3.8
71,21.7,-51.7,0.6
72,11.8,-45.6,-4.3
73,7.8,-40.1,-6.0
74,10.1,-38.0,-9.6
75,9.5,-39.2,-7.3
76,10.5,-39.1,-9.0
77,8.0,-39.9,-9.3
78,7.4,-39.7,-7.5
79,7.0,-39.6,-8.2
80,6.8,-40.0,-7.9
81,7.7,-41.1,-7.9
82,8.0,-42.6,-7.6
83,10.1,-46.3,-6.3
84,11.2,-49.7,-7.4
85,8.1,-50.3,-5.3
86,11.9,-49.1,-4.2
87,12.0,-49.8,-2.7
88,16.0,-59.1,1.7
89,13.6,-62.3,4.9
90,-3.4,-63.0,4.4
91,-6.7,-55.1,-1.6
92,-11.1,-49.9,-4.6
93,-6.4,-45.1,-4.5
94,-2.5,2.2,-29.5
95,2.0,2.5,-28.3
96,10.4,3.6,-29.1
97,8.8,4.4,-32.5
98,13.0,6.8,-28.8
99,15.9,10.0,-31.7
100,14.3,11.7,-28.3
101,21.0,16.5,-28.9
102,26.2,22.4,-25.1
103,39.6,28.9,-23.3
104,54.8,30.0,-26.0
105,72.9,25.0,-21.3
106,85.1,17.1,-20.8
107,85.7,9.5,-16.5
108,93.3,4.4,-18.1
109,93.7,-1.4,-17.7
110,91.9,-20.7,-13.0
111,83.2,-29.1,-16.2
112,63.0,-33.1,-9.7
113,57.0,-31.4,-12.5
114,46.8,-32.5,-12.4
115,31.6,-31.5,-12.4
116,23.9,-25.7,-18.8
117,12.3,-20.1,-17.2
118,14.6,-13.3,-20.0
119,14.3,-9.0,-23.4
120,19.7,-4.2,-20.6
121,29.3,-2.8,-21.3
122,34.5,-10.3,-13.9
123,39.8,-14.9,-14.7
124,28.8,-15.6,-13.0
125,32.9,-11.8,-13.8
126,36.3,-12.6,-14.4
127,33.8,-17.4,-11.3
128,31.4,-19.1,-11.3
129,27.1,-18.7,-13.4
130,28.0,-15.5,-14.1
131,32.1,-16.9,-17.1
132,27.2,-21.3,-16.4
133,26.4,-19.4,-21.5
134,17.6,-16.7,-22.1
135,21.9,-9.9,-26.0
136,26.1,-2.4,-30.8
137,32.1,3.2,-26.3
138,47.1,5.1,-25.1
139,48.9,-0.4,-19.4
140,54.9,-0.4,-25.1
141,58.0,0.7,-26.6
142,63.4,-1.2,-25.3
143,73.3,-4.0,-30.1
144,74.4,-15.2,-25.5
145,83.8,-26.0,-24.0
146,74.6,-34.5,-28.1
147,53.9,-34.7,-24.8
148,49.1,-31.3,-31.5
149,37.9,-29.8,-30.7
150,32.5,-22.8,-35.8
151,21.5,-20.3,-32.6
152,24.8,-15.8,-32.2
153,28.7,-11.5,-31.5
154,20.4,-9.2,-26.0
155,23.0,-6.4,-29.6
156,13.6,0.0,-33.5
157,20.6,8.7,-38.7
158,33.0,15.3,-45.6
159,44.1,7.3,-42.9
160,59.0,-4.8,-45.4
161,45.9,-20.9,-42.6
162,38.7,-24.0,-43.3
163,33.1,-21.8,-48.0
164,20.4,-20.6,-42.4
165,23.2,-15.7,-44.9
166,14.3,-13.0,-42.9
167,22.2,-6.6,-46.6
168,31.5,-3.1,-51.4
169,35.0,-4.2,-47.0
170,44.6,-6.7,-47.3
