types,name,longitude,latitude
station,Migeum,127.1089145,37.349988
path,none,127.1089142,37.3500683
path,none,127.1088476,37.3505664
path,none,127.1089526,37.3509087
path,none,127.1088429,37.351204
path,none,127.1088105,37.3512397
path,none,127.1087654,37.351579
path,none,127.1090436,37.3518653
path,none,127.1088733,37.3522016
path,none,127.1088189,37.3521709
path,none,127.1087297,37.3525912
path,none,127.1088676,37.3529369
path,none,127.1090522,37.3527964
path,none,127.1088029,37.3531876
path,none,127.1088523,37.3534378
path,none,127.1090237,37.3534841
path,none,127.1088375,37.3539084
path,none,127.1087751,37.3541234
path,none,127.1087254,37.3552762
path,none,127.1087984,37.3553091
path,none,127.1088095,37.3553104
path,none,127.1086857,37.3565671
path,none,127.1086712,37.3578435
path,none,127.1086315,37.3593437
path,none,127.1085846,37.360884
path,none,127.1084908,37.3635601
path,none,127.1084377,37.3656597
path,none,127.1084367,37.3662552
station,Jeongja,127.1084329,37.3673677
path,none,127.1083901,37.3678593
path,none,127.108369,37.3690979
path,none,127.1083801,37.3710075
path,none,127.1083586,37.3727298
path,none,127.1083586,37.3745749
path,none,127.1083286,37.3757744
path,none,127.1085431,37.3773704
path,none,127.1091182,37.3792051
path,none,127.109822,37.3810466
path,none,127.1109035,37.3833587
path,none,127.1110752,37.3841702
path,none,127.1111524,37.3866595
path,none,127.1111267,37.389626
path,none,127.1112779,37.3912899
path,none,127.1111524,37.3914195
path,none,127.1111385,37.3933442
station,Pangyo,127.111122,37.3943545
path,none,127.1111174,37.3946321
path,none,127.11112,37.3954105
path,none,127.1110987,37.3975341
path,none,127.1111758,37.3985056
path,none,127.1110861,37.3991614
path,none,127.1110557,37.4010658
path,none,127.1110436,37.402464
path,none,127.110995,37.4032209
path,none,127.110826,37.4038672
path,none,127.1106028,37.4045047
path,none,127.1103968,37.4049956
path,none,127.1095887,37.4059452
path,none,127.1086247,37.4066572
path,none,127.1071999,37.4073526
path,none,127.1052945,37.4082799
path,none,127.1024192,37.4096707
path,none,127.099458,37.4110615
path,none,127.0949976,37.4130306
path,none,127.0868708,37.4174905
path,none,127.0846911,37.4187401
path,none,127.0814144,37.4209527
path,none,127.0743268,37.4263407
path,none,127.0703428,37.4304215
path,none,127.0649585,37.4358661
path,none,127.0616818,37.4391212
path,none,127.0573331,37.4451779
path,none,127.0557949,37.4469754
station,Cheonggyesan,127.054516,37.4483389
path,none,127.0545599,37.4484001
path,none,127.0544067,37.4484543
path,none,127.0529784,37.4499544
path,none,127.0517248,37.4513667
path,none,127.0506491,37.452706
path,none,127.0505417,37.4526433
path,none,127.0492794,37.4541176
path,none,127.0480699,37.455457
path,none,127.0461217,37.457678
path,none,127.0427412,37.4614935
path,none,127.0411693,37.4632229
path,none,127.0389601,37.4657568
path,none,127.038772,37.466041
path,none,127.0386506,37.4665276
path,none,127.0384728,37.4683543
station,Yangjae Citizen's Forest,127.0382719,37.470128
path,none,127.0381537,37.4710343
path,none,127.0379496,37.473096
path,none,127.0380261,37.4740073
path,none,127.0383454,37.4760175
path,none,127.0384175,37.4779363
path,none,127.0383454,37.4788527
path,none,127.0378835,37.4800956
path,none,127.037436,37.480949
path,none,127.0352268,37.4831555
station,Yangjae,127.0346389,37.4837582
path,none,127.0340424,37.484378
path,none,127.0338192,37.4846879
path,none,127.0332656,37.4858628
path,none,127.0321136,37.4882094
path,none,127.0306413,37.4912618
path,none,127.0290823,37.4946348
station,Gangnam,127.0279352,37.497112
path,none,127.0263547,37.5003999
path,none,127.0241637,37.5050077
path,none,127.0203145,37.5131566
path,none,127.0198982,37.5146
