types,name,longitude,latitude
path,none,127.04546245,37.30150235
path,none,127.04535756666667,37.3015614
path,none,127.045301825,37.30158625
path,none,127.04512442500001,37.3016771
station,Gwanggyo,127.04482837499998,37.301789475
path,none,127.04446045,37.30193105
path,none,127.04409442500001,37.30211865
path,none,127.0437876,37.302276975
path,none,127.04352259999999,37.3024461
path,none,127.04338849999999,37.302522475
path,none,127.04319095,37.302631774999995
path,none,127.0430013,37.302714425
path,none,127.04369982499999,37.3023656
path,none,127.04453595,37.301959675
path,none,127.04545035000001,37.301478075000006
path,none,127.04643709999999,37.30097455
path,none,127.04665002499999,37.300855825
path,none,127.046742475,37.3008065
path,none,127.046930975,37.300693675
path,none,127.047119275,37.300575275
path,none,127.047271975,37.300466899999996
path,none,127.0475213,37.3002918
path,none,127.047665875,37.300184349999995
path,none,127.0478142,37.300056649999995
path,none,127.04796755000001,37.299938874999995
path,none,127.04812925,37.299787275
path,none,127.04835875,37.2995423
path,none,127.04854957500001,37.299354075000004
path,none,127.0488054,37.299083275
path,none,127.0489816,37.298888675
path,none,127.049095975,37.298791275
path,none,127.04929212500001,37.2985252
path,none,127.04943614999999,37.29834205
path,none,127.0495729,37.298117075
path,none,127.04971347499999,37.297885050000005
path,none,127.04976024999999,37.2977579
path,none,127.04980939999999,37.29762225
path,none,127.049846,37.297511525000004
path,none,127.04985847500001,37.297335775
path,none,127.04985955000001,37.29716225
path,none,127.04971595,37.29657345
path,none,127.0494702,37.295743225
path,none,127.049125225,37.294804674999995
path,none,127.0487466,37.293767475
path,none,127.048484175,37.293067025
path,none,127.048314675,37.2924713
path,none,127.04827482500001,37.291992699999994
path,none,127.04832585,37.291572725
path,none,127.048548375,37.29108825
path,none,127.049228775,37.290443200000006
path,none,127.05002395,37.289737025
station,Gwanggyo Jungang,127.0510013,37.28898455
path,none,127.05209260000001,37.2881574
path,none,127.0527497,37.287669275
path,none,127.053405625,37.287209275
path,none,127.053960625,37.286800775
path,none,127.05437865,37.286556950000005
path,none,127.054875325,37.28628345
path,none,127.05533989999999,37.28608335
path,none,127.05574934999999,37.285969699999995
path,none,127.05610362499999,37.285936125
path,none,127.056440825,37.28596045
path,none,127.056794175,37.286069874999995
path,none,127.057102325,37.2861626
path,none,127.0573391,37.2862285
path,none,127.0575472,37.28632795
path,none,127.057715825,37.286453050000006
path,none,127.0581478,37.28683745
path,none,127.05921295,37.287753325000004
path,none,127.06050417499999,37.2888497
path,none,127.061841675,37.2899144
path,none,127.063289875,37.29089525
path,none,127.0645617,37.291552949999996
path,none,127.065699325,37.29204887499999
path,none,127.06682105,37.29258485
path,none,127.0676105,37.2930773
path,none,127.068120725,37.2940734
path,none,127.068563275,37.295225375
station,Sanghyeon,127.069042075,37.2967635
path,none,127.06953142500001,37.298409025
path,none,127.0698842,37.299442225
path,none,127.070571425,37.300524525
path,none,127.071518975,37.30140874999999
path,none,127.072528025,37.30220715
path,none,127.0736041,37.303120925
path,none,127.07433235,37.303880649999996
path,none,127.074639625,37.30436374999999
path,none,127.074820325,37.304778049999996
path,none,127.074859875,37.305199375
path,none,127.0748599,37.305530675
path,none,127.074872275,37.305890425
path,none,127.07485080000001,37.30621035
path,none,127.0748743,37.306326975000005
path,none,127.07487745,37.3064508
path,none,127.07486025,37.30654005
path,none,127.07487942499999,37.306643425000004
path,none,127.0751887,37.307429975
path,none,127.0756912,37.308540574999995
path,none,127.07620527499999,37.309658400000004
path,none,127.0767248,37.310789325
path,none,127.07695552499999,37.3112234
path,none,127.07701185,37.311342775
path,none,127.077100825,37.31144045
path,none,127.07721397499999,37.311533825
path,none,127.0773206,37.311616325
path,none,127.077643725,37.31180775
