idx,x,y,z
0,0.0018,0.01315,0.0146
1,-0.00887,-0.00816,0.01353
2,0.00818,0.0451,0.03271
3,-0.05786,-0.01987,0.03804
4,-0.05254,-0.00922,0.0519
5,-0.0504,-0.02733,0.00716
6,-0.03656,0.02699,0.03697
7,-0.01631,0.00037,0.02632
8,0.00713,-0.0071,0.00821
9,-0.00034,-0.01028,0.01781
10,0.01352,0.00569,0.00182
11,-0.01952,0.03445,0.00182
12,0.02736,-0.04012,0.00288
13,-0.01205,0.03232,0.00609
14,-0.00887,-0.01135,0.01353
15,-0.00673,-0.01349,0.00716
16,-0.03763,-0.00282,-0.00777
17,-0.00992,0.02274,-0.01202
18,-0.03123,-0.00816,0.00395
19,-0.03017,0.0025,0.00502
20,-0.01631,0.00462,0.01248
21,-0.00566,-0.01454,-0.00883
22,0.00073,0.01527,0.01567
23,-0.00459,-0.02094,-0.0099
24,0.01352,0.01741,0.01781
25,0.04121,-0.00603,-0.01309
26,-0.00566,0.0206,-0.00351
27,-0.01419,-0.0007,-0.01309
28,-0.01631,0.0025,-0.0067
29,-0.00566,0.02487,-0.01628
30,-0.0014,-0.00389,0.00288
31,-0.03656,0.00143,0.00076
32,0.04333,-0.00282,-0.00563
33,0.02629,-0.00816,-0.00563
34,0.01778,0.01741,-0.01735
35,-0.00566,-0.00496,-0.00563
36,-0.00566,-0.0071,0.00609
37,0.00713,-0.00389,-0.0099
38,-0.03656,-0.01775,-0.0099
39,-0.01312,0.01634,-0.00244
40,0.0199,0.00037,-0.01309
41,0.00606,-0.00922,-0.02267
42,0.01778,0.01527,0.01035
43,0.01352,-0.01561,-0.01416
44,0.01778,-0.01349,-0.01416
45,-0.02058,0.0206,-0.01628
46,-0.0014,0.00676,0.00502
47,0.01564,-0.01668,0.01567
48,0.00392,0.01527,-0.00777
49,0.00818,0.0089,-0.02267
50,0.01884,-0.00282,-0.01842
51,-0.00034,-0.00922,-0.01735
52,0.02522,0.00676,-0.02055
53,-0.02164,0.0089,-0.0067
54,0.01138,-0.00922,0.00502
55,0.00499,0.02274,0.00182
56,0.00925,0.0089,0.00502
57,0.03056,0.02594,-0.0067
58,0.00606,0.00143,-0.02695
59,0.03908,-0.00816,-0.01523
60,-0.01205,0.01315,0.00928
61,-0.01631,0.03552,0.00288
62,-0.00887,-0.0007,0.01567
63,0.01457,-0.02626,0.01781
64,0.02736,0.00676,0.00288
65,0.00499,-0.02626,0.0146
66,0.0231,0.01422,0.00395
67,0.00392,-0.02307,-0.02055
68,-0.0078,-0.01135,0.01035
69,-0.0078,-0.03372,0.01674
70,0.00285,-0.02094,0.021
71,-0.02377,-0.03265,-0.00456
72,-0.00034,-0.00816,-0.0067
73,-0.02484,0.01315,-0.0067
74,0.00285,0.01955,-0.01309
75,-0.0291,0.00569,-0.02907
76,-0.0291,0.05363,-0.0376
77,-0.04828,0.00995,-0.02374
78,0.01671,0.00462,0.00716
79,0.03268,-0.0071,-0.0099
80,0.04654,0.01208,0.00609
81,-0.00247,0.02274,-0.01735
82,-0.02696,-0.00603,-0.02267
83,-0.04507,-0.00496,-0.04079
84,-0.00673,-0.00177,-0.02267
85,0.0753,-0.00389,-0.01096
86,0.01457,-0.0007,0.00502
87,0.01671,0.02167,-0.00031
88,-0.01524,0.00143,-0.028
89,-0.03763,0.0206,0.00821
90,-0.00673,-0.01668,-0.00244
91,0.04866,-0.01135,-0.00031
92,0.06677,0.02274,0.01035
93,0.02417,0.0025,0.00716
94,0.00073,-0.0071,-0.01202
95,-0.01312,0.00995,0.00502
96,-0.01419,-0.00816,-0.00563
97,0.01031,-0.01242,-0.00137
98,0.00606,-0.00282,-0.01416
99,0.00713,-0.01454,-0.00777
100,-0.00247,0.0025,0.00288
101,0.0231,-0.00603,-0.01949
102,-0.03229,0.00356,0.01248
103,0.00606,0.00676,0.00502
104,-0.00352,0.03232,0.02206
105,-0.07809,-0.00389,-0.00563
106,-0.0078,0.01741,0.00716
107,-0.02271,-0.01775,-0.0099
108,-0.03017,0.00676,0.00609
109,-0.0014,0.00569,-0.01202
110,0.02629,-0.02521,-0.01096
111,-0.0014,0.02167,0.01674
112,0.01352,-0.01028,-0.01735
113,0.01031,0.00037,-0.00137
114,0.02417,-0.00282,-0.00563
115,-0.03336,0.02167,0.01248
116,0.01884,-0.03586,-0.00883
117,0.03268,0.02913,0.01248
118,-0.01845,-0.0284,-0.0067
119,0.00392,0.01741,0.01567
120,0.01778,-0.03159,-0.01202
121,-0.01738,0.01422,0.00395
122,0.01457,-0.0007,-0.01096
123,0.00499,-0.03159,0.00716
124,-0.01952,-0.00282,0.00502
125,0.01245,0.00037,0.00076
126,0.0018,-0.02626,-0.02481
127,-0.04401,0.04192,0.00395
128,-0.00992,-0.00496,0.02846
129,-0.03123,-0.01135,0.02953
130,-0.0078,-0.00389,0.01674
131,0.01031,0.0089,-0.01949
132,0.0199,-0.01028,-0.0067
133,0.01564,0.00569,-0.00777
134,-0.01524,-0.0433,0.04337
135,0.05186,-0.01454,0.00395
136,0.04654,-0.00496,0.00716
137,0.03801,0.00356,-0.00244
138,0.00713,-0.00816,-0.00456
139,-0.02484,0.0025,-0.01949
140,-0.04189,-0.01881,-0.00563
141,-0.01631,0.0089,0.021
142,0.01352,-0.01775,-0.00351
143,-0.00247,0.01315,-0.00351
144,-0.00673,0.00783,0.01248
145,0.0231,0.00569,-0.00563
146,-0.01631,0.00995,0.01567
147,0.00499,-0.02521,-0.01202
148,-0.02377,-0.01242,0.00076
149,-0.00352,0.00783,0.00182
150,-0.01631,0.00356,-0.02374
151,0.00713,-0.01242,-0.00244
152,0.0199,0.00037,-0.0099
153,0.00392,-0.02733,-0.0099
154,-0.02164,0.01527,0.00609
155,-0.02696,0.00037,0.00395
156,-0.01419,-0.00816,-0.00351
157,0.00499,0.02806,0.00288
158,0.00606,-0.01349,-0.02374
159,0.00499,-0.00177,-0.02907
160,-0.02803,0.00783,-0.03014
161,-0.00673,-0.00922,-0.03439
162,0.02097,0.00676,-0.03014
163,0.00606,-0.01987,-0.01842
164,-0.03123,-0.01561,-0.04399
165,-0.03017,0.01102,-0.03865
166,-0.01205,-0.00282,-0.05569
167,0.05931,-0.02521,-0.01949
168,0.02097,-0.02626,0.00928
169,-0.00887,-0.00816,0.00182
170,-0.0078,0.00569,0.00395
171,-0.00566,-0.0007,-0.00244
172,0.0231,-0.02307,0.00182
173,-0.01205,-0.00389,-0.00244
174,-0.01845,-0.02626,-0.00031
175,-0.01738,-0.00603,0.01886
176,0.01671,-0.0007,0.01353
177,0.02097,0.01741,-0.00031
178,0.01138,0.02699,-0.0067
179,0.00392,0.02487,-0.01309
180,-0.00352,0.03764,-0.01949
181,-0.04401,-0.00496,0.01141
182,-0.00673,-0.01775,0.00502
183,-0.01738,-0.01349,0.01674
184,-0.01524,-0.0007,0.01141
185,0.01031,-0.01561,0.00502
186,0.01352,-0.0433,-0.01523
187,-0.00034,-0.01775,-0.01523
188,-0.02377,0.00676,-0.02695
189,-0.04933,0.00143,-0.00563
190,-0.03229,-0.01028,-0.00883
191,0.01138,-0.02626,-0.01202
192,-0.00352,-0.02094,0.00182
193,-0.00673,-0.02094,-0.00777
194,-0.01205,-0.01135,0.01993
195,-0.01099,-0.01454,0.02953
196,-0.00992,-0.00922,0.0146
197,0.01457,-0.00282,0.03165
198,0.02203,-0.01775,0.01567
199,0.02522,-0.01561,0.01141
200,-0.01419,-0.02733,0.00821
201,-0.00887,-0.06142,-0.01628
202,-0.01738,-0.07207,-0.01949
203,-0.00034,-0.06142,0.00288
204,-0.01419,-0.02626,0.00609
205,-0.00992,-0.01349,0.00182
206,-0.00034,-0.00496,0.00395
207,0.00925,0.02167,0.00288
208,-0.00887,-0.00816,0.00716
209,-0.02377,-0.01028,0.02313
210,-0.01845,0.01634,0.03058
211,-0.00673,-0.00816,0.00288
212,-0.00673,0.00783,-0.01309
213,0.01564,0.02913,-0.00456
214,-0.0014,0.00356,-0.01735
215,-0.00673,0.01634,0.00502
216,0.02522,-0.0071,0.01353
217,0.01671,-0.00177,0.00821
218,-0.01738,0.0025,0.00288
219,0.02097,0.00143,0.00288
220,0.00818,-0.00282,-0.00456
221,0.01138,-0.0071,0.00502
222,0.02417,0.01955,-0.00456
223,-0.02058,-0.00389,0.00716
224,0.00073,0.01208,0.00716
225,0.01671,0.00462,-0.00137
226,0.00499,0.00676,0.00076
227,0.01457,0.00783,0.00395
228,0.00285,-0.01561,-0.00456
229,-0.02484,0.01208,0.00182
230,-0.01099,-0.01135,-0.01096
231,0.00818,0.0025,0.00928
232,-0.00459,-0.01668,0.00716
233,0.00925,0.00037,-0.00563
234,0.03268,-0.00816,0.00076
235,-0.02271,-0.01987,-0.01523
236,-0.00673,-0.01135,-0.01735
237,0.01457,0.0206,0.00609
238,-0.01312,0.0025,-0.00244
239,0.01138,0.00462,0.00288
240,-0.00992,0.00356,0.00821
241,-0.01312,0.01741,0.01141
242,0.00392,0.00037,-0.00244
243,-0.0078,-0.01135,-0.00883
244,0.01884,0.0025,0.01353
245,-0.00352,-0.01881,0.00609
246,0.01138,0.0089,0.00076
247,-0.02377,0.01422,-0.00777
