idx,x,y,z
0,-69.5694,1737.70605,-2.1286
1,-72.72034,1732.15637,5.67169
2,-77.07062,1725.85596,9.1217
3,-80.67017,1727.20642,9.72137
4,-80.67017,1727.20642,9.72137
5,-91.92047,1740.40527,7.32117
6,-88.76953,1745.65576,4.77142
7,-84.26971,1753.15552,2.52075
8,-84.26971,1751.35645,1.77155
9,-76.46942,1754.05579,0.12207
10,-81.41937,1751.95618,-0.62866
11,-73.91968,1747.15576,-0.92926
12,-73.77014,1745.50635,0.12207
13,-73.77014,1748.80518,0.42114
14,-73.77014,1745.50635,0.12207
15,-75.27008,1744.60596,0.57068
16,-75.27008,1744.60596,0.57068
17,-75.72021,1740.1062,2.07214
18,-79.01917,1739.50659,2.37122
19,-89.6698,1745.20569,2.37122
20,-94.02008,1747.15576,1.32141
21,-99.11957,1759.75647,-3.32794
22,-99.42017,1763.20654,-6.32935
23,-97.47009,1770.55664,-11.2793
24,-97.61963,1771.45532,-12.62817
25,-98.66943,1774.9054,-16.67786
26,-97.61963,1777.45667,-21.47827
27,-94.31915,1784.65576,-27.32849
28,-90.87067,1786.4563,-30.32837
29,-90.87067,1786.4563,-30.32837
30,-90.87067,1786.4563,-30.32837
31,-74.96948,1772.95532,-24.02802
32,-76.01929,1771.60645,-19.8288
33,-75.86975,1765.75623,-12.92877
34,-76.91956,1760.05554,-9.92889
35,-79.4693,1754.95605,-6.02875
36,-82.76978,1755.10559,-5.87921
37,-83.52051,1752.55591,-2.1286
38,-85.47058,1755.40625,-1.828
39,-85.47058,1755.40625,-1.828
40,-99.8703,1750.0061,-2.4292
41,-103.16925,1752.55591,-5.12848
42,-103.91998,1757.2052,-12.17804
43,-85.76965,1748.20557,-15.02838
44,-87.12006,1742.95654,-15.02838
45,-85.76965,1748.20557,-15.02838
46,-85.76965,1748.20557,-15.02838
47,-88.3194,1736.05652,-8.87909
48,-90.11993,1734.25598,-7.37915
49,-90.11993,1734.25598,-7.37915
50,-94.02008,1735.45532,-9.47876
51,-92.97028,1739.35547,-16.07819
52,-93.87054,1742.35535,-21.1792
53,-88.76953,1741.45654,-26.27869
54,-91.47034,1743.70581,-28.97797
55,-88.76953,1742.20581,-30.62897
56,-90.11993,1748.35669,-31.22864
57,-81.41937,1749.10583,-31.22864
58,-81.41937,1749.10583,-31.22864
59,-80.52063,1733.65625,-24.77875
60,-81.57043,1734.10645,-21.77887
61,-87.71973,1726.60522,-17.27905
62,-89.3692,1725.70654,-17.12799
63,-89.3692,1725.70654,-17.12799
64,-103.91998,1734.25598,-21.92841
65,-89.81934,1740.1062,-24.32861
66,-89.81934,1740.1062,-24.32861
67,-86.07025,1735.15625,-19.07806
68,-85.76965,1734.10645,-14.27917
69,-89.07013,1732.45544,-8.12836
70,-83.81958,1733.20618,-6.62842
71,-79.17023,1724.50562,-0.17853
72,-76.01929,1718.8064,5.07202
73,-79.17023,1708.15576,9.1217
74,-85.31952,1713.55591,11.37085
75,-85.16998,1709.8053,12.72125
76,-85.02045,1711.75537,12.87079
77,-86.36932,1710.40649,13.62152
78,-85.02045,1712.80518,13.62152
79,-102.11945,1704.55627,13.17139
80,-110.67047,1716.40625,5.82123
81,-109.62067,1727.65649,-2.4292
82,-106.77032,1737.4054,-4.82788
83,-90.7196,1741.6062,-10.37903
84,-99.5697,1741.15601,-10.52856
85,-99.5697,1741.15601,-10.52856
86,-86.07025,1735.75586,-8.72803
87,-85.16998,1728.25623,-4.37927
88,-85.02045,1728.40576,-3.479
89,-85.02045,1728.40576,-3.479
90,-95.66956,1726.75635,-5.12848
91,-95.06989,1727.35596,-7.52869
92,-96.42029,1728.40576,-8.27789
93,-104.06952,1729.7561,-12.77924
94,-100.9201,1741.90527,-15.32898
95,-105.11932,1736.20605,-15.32898
96,-105.11932,1736.20605,-15.32898
97,-97.92023,1749.25537,-13.97858
98,-87.26959,1742.35535,-9.92889
99,-81.86951,1738.00659,-4.97894
100,-82.02057,1727.20642,-3.32794
101,-80.52063,1729.15649,-2.72827
102,-79.7699,1728.40576,-2.4292
103,-80.8197,1723.75635,-0.47913
104,-110.96954,1717.75659,2.07214
105,-110.96954,1717.75659,2.07214
106,-111.72028,1723.75635,1.02081
107,-119.81964,1744.15588,-8.57849
108,-115.17029,1749.55591,-13.52844
109,-110.82001,1756.90613,-15.62805
110,-110.82001,1756.90613,-15.62805
111,-85.31952,1750.0061,-13.22784
112,-84.71985,1745.35522,-9.77936
113,-81.86951,1743.25562,-5.72815
114,-86.21979,1741.6062,-4.07867
115,-82.1701,1740.40527,-3.17841
116,-77.96936,1738.4552,-2.87933
117,-77.96936,1738.4552,-2.87933
118,-76.91956,1735.60645,-1.828
119,-76.31989,1732.60645,-1.67847
120,-77.22015,1731.40564,0.42114
121,-74.81995,1731.10657,1.92108
122,-75.12054,1731.40564,4.17175
123,-77.36969,1732.30591,4.77142
124,-76.17035,1730.35583,6.4209
125,-79.4693,1731.2561,7.32117
126,-79.4693,1731.2561,7.32117
127,-78.72009,1726.90576,7.32117
128,-77.36969,1730.2063,6.57196
129,-76.91956,1729.30603,5.67169
130,-78.26996,1729.60669,4.47083
131,-76.62048,1726.30615,3.27148
132,-75.86975,1725.70654,1.92108
133,-74.81995,1729.30603,1.62201
134,-79.01917,1724.95581,1.62201
135,-79.01917,1724.95581,1.62201
136,-80.22003,1727.35596,2.82135
137,-81.26984,1725.85596,3.57208
138,-82.1701,1725.85596,4.32129
139,-79.31976,1722.25647,5.67169
140,-77.51923,1725.70654,6.4209
141,-77.51923,1723.30627,7.17163
142,-77.51923,1723.30627,7.17163
143,-76.01929,1722.70654,5.82123
144,-78.41949,1721.3562,5.07202
145,-80.36957,1723.30627,4.92096
146,-80.67017,1726.15662,4.17175
147,-83.67004,1726.90576,4.32129
148,-83.07037,1718.95605,4.17175
149,-81.57043,1725.55542,4.77142
150,-79.62036,1720.45593,5.97076
151,-85.47058,1731.10657,6.4209
152,-83.81958,1726.75635,7.4707
153,-86.07025,1730.50537,11.82098
154,-85.31952,1733.05664,12.57172
155,-87.71973,1734.70605,14.82086
156,-84.86938,1735.60645,15.72113
157,-81.71997,1733.80591,15.72113
158,-79.62036,1727.80615,15.271
159,-82.91931,1731.55518,14.07166
160,-80.96924,1728.25623,12.42065
161,-81.71997,1730.35583,11.67145
162,-79.17023,1727.65649,11.07178
163,-84.12018,1729.90576,10.47211
164,-85.76965,1729.15649,8.52203
165,-89.52026,1727.65649,7.32117
166,-86.21979,1731.10657,7.17163
167,-92.52014,1728.5553,7.17163
168,-93.56995,1729.90576,7.92084
169,-92.81921,1726.75635,7.92084
170,-91.61987,1728.7063,8.0719
171,-92.07001,1731.40564,9.42078
172,-84.57031,1728.85596,8.97064
173,-84.57031,1728.85596,8.97064
174,-83.97064,1727.35596,7.7713
175,-86.07025,1726.90576,6.57196
176,-84.57031,1729.30603,5.67169
177,-83.67004,1726.30615,3.57208
178,-81.71997,1727.50549,3.42102
179,-83.67004,1726.30615,3.57208
180,-83.81958,1730.65649,4.17175
181,-83.67004,1731.2561,5.07202
182,-81.71997,1732.15637,7.92084
183,-84.57031,1732.7561,8.97064
184,-81.71997,1733.20618,9.72137
185,-82.76978,1732.15637,11.67145
186,-86.52039,1736.05652,11.97205
187,-85.91919,1737.70605,11.22131
188,-87.12006,1734.10645,10.32104
189,-86.36932,1737.5564,7.7713
190,-85.91919,1740.25574,6.7215
191,-91.92047,1739.35547,4.32129
192,-91.61987,1738.6062,4.02069
193,-91.61987,1738.6062,4.02069
194,-94.16962,1733.20618,4.17175
195,-92.66968,1740.40527,4.32129
196,-95.66956,1736.05652,6.4209
197,-93.11981,1732.7561,8.22144
198,-94.02008,1734.70605,8.82111
199,-91.92047,1732.30591,10.32104
200,-90.42053,1729.90576,11.67145
201,-87.71973,1729.45557,12.87079
202,-84.57031,1733.20618,14.22119
203,-84.12018,1732.45544,15.271
204,-84.12018,1732.45544,15.271
205,-84.57031,1733.20618,14.22119
206,-87.42065,1734.10645,13.32092
207,-89.21967,1737.5564,12.12158
208,-87.57019,1738.4552,10.17151
209,-88.16986,1739.0564,8.52203
210,-87.26959,1738.4552,5.67169
211,-87.71973,1738.30566,2.52075
212,-88.02032,1737.10632,1.17188
213,-86.07025,1735.45532,1.02081
214,-86.97052,1736.35559,0.87128
215,-86.97052,1736.35559,0.87128
216,-86.07025,1735.45532,1.02081
217,-87.12006,1734.10645,1.32141
218,-86.81946,1731.55518,2.07214
219,-85.91919,1727.50549,3.42102
220,-85.47058,1726.45569,4.17175
221,-84.57031,1724.35608,5.22156
222,-85.02045,1725.25635,6.27136
223,-84.12018,1724.95581,7.92084
224,-84.12018,1724.95581,7.92084
225,-87.26959,1726.75635,7.92084
226,-84.12018,1727.50549,7.4707
227,-87.26959,1726.75635,7.92084
228,-87.71973,1730.2063,8.0719
229,-86.36932,1729.45557,8.0719
230,-86.36932,1729.45557,8.0719
231,-87.71973,1730.2063,8.0719
232,-85.91919,1729.90576,7.92084
233,-87.57019,1729.90576,7.92084
234,-86.36932,1729.7561,7.32117
235,-89.21967,1729.15649,6.57196
236,-87.71973,1728.7063,5.52216
237,-89.81934,1729.7561,5.07202
238,-91.61987,1725.25635,4.77142
239,-91.92047,1719.55566,2.52075
240,-92.37061,1719.25659,0.27161
241,-90.87067,1717.75659,-0.17853
242,-90.87067,1717.75659,-0.92926
243,-92.07001,1717.90625,-2.1286
244,-93.11981,1728.5553,-2.1286
245,-91.31927,1723.75635,-3.479
246,-94.16962,1727.50549,-4.07867
247,-94.92035,1728.25623,-3.62854
248,-96.56982,1722.8562,-3.62854
249,-94.92035,1728.25623,-3.62854
250,-97.01996,1720.75659,-2.57874
251,-95.37048,1716.40625,0.27161
252,-94.31915,1719.25659,1.77155
253,-92.81921,1718.6554,3.42102
254,-89.6698,1722.8562,4.17175
255,-92.07001,1719.40613,5.67169
256,-86.36932,1726.30615,5.07202
257,-88.76953,1723.45581,5.07202
258,-88.76953,1723.45581,5.07202
259,-89.52026,1726.60522,4.77142
260,-89.52026,1726.60522,4.77142
261,-96.87042,1727.65649,4.77142
262,-95.21942,1729.30603,4.92096
263,-93.26935,1729.45557,7.32117
264,-88.02032,1725.70654,7.4707
265,-93.26935,1729.45557,7.32117
266,-86.21979,1722.8562,5.67169
267,-85.31952,1721.65527,4.02069
268,-83.52051,1719.7052,3.72162
269,-83.97064,1722.40601,2.82135
270,-84.12018,1718.35632,1.92108
271,-84.26971,1719.25659,1.02081
272,-84.71985,1718.8064,1.02081
273,-84.26971,1719.25659,1.02081
274,-85.76965,1722.40601,1.02081
275,-86.36932,1723.45581,1.02081
276,-84.71985,1721.95581,0.27161
277,-85.47058,1723.60535,-0.32806
278,-85.16998,1721.8064,-0.62866
279,-84.71985,1718.8064,-0.92926
280,-84.71985,1718.8064,-0.92926
281,-88.47046,1717.75659,-0.47913
282,-89.07013,1717.30652,0.12207
283,-90.7196,1719.40613,2.37122
284,-90.57007,1725.85596,6.27136
285,-91.31927,1724.50562,8.0719
286,-90.42053,1733.50525,10.92072
287,-89.3692,1733.50525,11.67145
288,-89.3692,1734.25598,13.47198
289,-89.81934,1733.35571,14.07166
290,-89.81934,1733.35571,14.07166
291,-89.81934,1733.35571,14.07166
292,-89.81934,1733.35571,14.07166
293,-92.81921,1733.80591,13.47198
294,-93.56995,1732.45544,13.17139
295,-93.71948,1732.60645,12.12158
296,-92.97028,1733.35571,11.82098
297,-89.3692,1737.10632,11.67145
298,-89.81934,1735.75586,11.37085
299,-89.81934,1735.75586,11.37085
300,-84.12018,1736.05652,9.72137
301,-85.91919,1735.00513,9.42078
302,-86.81946,1730.80591,8.0719
303,-88.16986,1730.80591,8.0719
304,-88.02032,1731.7063,7.92084
305,-88.02032,1731.7063,7.92084
306,-88.16986,1729.15649,7.7713
307,-85.31952,1731.55518,7.02209
308,-85.02045,1732.60645,5.82123
309,-89.6698,1729.30603,5.22156
310,-85.76965,1730.2063,4.32129
311,-87.12006,1730.50537,3.57208
312,-89.6698,1727.50549,3.42102
313,-90.11993,1728.5553,3.42102
314,-89.6698,1727.50549,3.42102
315,-89.21967,1728.7063,4.02069
316,-89.21967,1728.7063,4.02069
317,-89.3692,1728.85596,4.47083
318,-89.6698,1727.20642,4.92096
319,-90.87067,1728.40576,5.07202
320,-89.52026,1727.95557,5.82123
321,-90.26947,1725.55542,6.27136
322,-90.26947,1725.55542,6.27136
323,-90.7196,1725.40588,7.17163
324,-90.7196,1725.40588,7.17163
325,-91.76941,1726.75635,6.7215
326,-91.76941,1726.75635,6.7215
327,-92.66968,1726.60522,6.27136
328,-92.66968,1723.00562,4.77142
329,-86.81946,1721.3562,2.52075
330,-83.21991,1717.45605,0.57068
331,-80.36957,1717.30652,-2.87933
332,-80.22003,1715.35645,-4.97894
333,-81.41937,1714.45618,-9.6283
334,-81.41937,1714.45618,-9.6283
335,-80.96924,1711.90649,-9.6283
336,-81.41937,1714.45618,-9.6283
337,-88.62,1717.30652,-7.82928
338,-85.31952,1714.90625,-6.77795
339,-88.16986,1718.05566,-5.27802
340,-88.16986,1717.75659,-4.97894
341,-91.61987,1719.8562,-4.22821
342,-90.87067,1719.55566,-3.479
343,-86.36932,1719.55566,-3.17841
344,-86.36932,1719.55566,-3.479
345,-86.36932,1719.55566,-3.479
346,-83.97064,1719.25659,-4.22821
347,-83.97064,1719.25659,-4.22821
348,-83.97064,1719.25659,-4.22821
349,-83.97064,1719.25659,-4.22821
350,-85.91919,1716.55579,-3.62854
351,-88.47046,1716.40625,-3.479
352,-85.91919,1716.55579,-3.62854
353,-86.07025,1715.35645,-3.77808
354,-90.57007,1712.05591,-4.52881
355,-93.26935,1713.55591,-4.52881
356,-92.66968,1715.35645,-3.17841
357,-94.02008,1713.10571,-2.4292
358,-91.92047,1714.90625,-0.92926
359,-89.07013,1716.85645,-0.62866
360,-89.07013,1716.85645,-0.62866
361,-92.37061,1718.50586,0.27161
362,-92.37061,1718.50586,0.27161
363,-93.71948,1721.3562,-0.47913
364,-93.71948,1721.3562,-0.47913
365,-91.61987,1721.65527,-0.92926
366,-92.66968,1721.3562,-1.67847
367,-95.21942,1722.25647,-2.1286
368,-95.21942,1722.25647,-2.1286
369,-97.47009,1724.20654,-2.72827
370,-94.92035,1721.50574,-4.07867
371,-94.92035,1718.95605,-4.37927
372,-95.66956,1721.50574,-4.82788
373,-92.97028,1717.45605,-4.97894
374,-92.97028,1717.45605,-4.97894
375,-87.26959,1715.80664,-5.57861
376,-87.26959,1715.80664,-5.57861
377,-84.12018,1714.0061,-6.32935
378,-85.16998,1714.45618,-7.82928
379,-86.07025,1713.85645,-7.97882
380,-85.47058,1714.75525,-8.12836
381,-86.97052,1718.35632,-9.6283
382,-83.97064,1714.90625,-9.02863
383,-86.07025,1720.3064,-7.97882
384,-87.26959,1720.00586,-7.37915
385,-86.21979,1720.45593,-6.62842
386,-91.92047,1724.50562,-5.72815
387,-88.16986,1723.45581,-5.27802
388,-91.76941,1724.65674,-4.07867
389,-91.76941,1724.65674,-4.07867
390,-88.47046,1725.55542,-3.77808
391,-88.47046,1725.55542,-3.77808
392,-89.3692,1725.40588,-4.07867
393,-88.47046,1724.50562,-4.97894
394,-89.21967,1726.60522,-5.72815
395,-87.57019,1724.65674,-6.32935
396,-86.97052,1725.70654,-7.37915
397,-91.61987,1726.30615,-7.52869
398,-91.61987,1726.30615,-7.52869
399,-94.16962,1727.50549,-7.37915
400,-95.21942,1727.50549,-7.07855
401,-97.61963,1725.70654,-5.87921
402,-95.66956,1724.95581,-3.32794
403,-95.66956,1724.95581,-3.32794
404,-95.66956,1724.95581,-3.32794
405,-98.06976,1726.75635,-3.32794
406,-92.37061,1721.95581,-3.17841
407,-92.97028,1724.20654,-3.77808
408,-89.21967,1723.45581,-4.52881
409,-84.57031,1725.40588,-4.82788
410,-87.42065,1721.65527,-5.72815
411,-86.21979,1722.55554,-5.87921
412,-86.07025,1725.25635,-6.02875
413,-85.31952,1724.50562,-6.47888
414,-90.57007,1723.75635,-7.22809
415,-90.57007,1723.75635,-7.22809
416,-90.57007,1725.25635,-6.02875
417,-90.42053,1723.60535,-5.57861
418,-90.26947,1719.25659,-4.97894
419,-92.52014,1720.45593,-4.37927
420,-92.52014,1720.45593,-4.37927
421,-90.11993,1720.00586,-4.07867
422,-90.87067,1722.40601,-4.22821
423,-89.6698,1720.00586,-4.07867
424,-90.57007,1725.85596,-3.17841
425,-91.76941,1721.50574,-2.87933
426,-90.26947,1726.90576,-1.97906
427,-90.7196,1725.40588,-1.828
428,-90.7196,1725.40588,-1.828
429,-90.57007,1725.55542,-1.22833
430,-89.07013,1727.20642,-1.0788
431,-94.92035,1729.30603,-1.0788
432,-93.11981,1729.30603,0.87128
433,-93.11981,1729.30603,0.87128
434,-93.71948,1729.15649,0.57068
435,-88.16986,1724.80615,-0.47913
436,-90.42053,1725.40588,-1.37787
437,-88.3194,1721.8064,-3.32794
438,-88.3194,1723.90601,-4.37927
439,-90.11993,1723.30627,-5.12848
440,-90.42053,1722.25647,-6.62842
441,-90.26947,1722.40601,-6.77795
442,-94.16962,1722.25647,-7.37915
443,-94.16962,1722.25647,-7.37915
444,-94.76929,1724.20654,-7.22809
445,-94.76929,1724.20654,-7.22809
446,-94.76929,1724.20654,-7.22809
447,-94.76929,1724.20654,-7.22809
448,-94.76929,1724.20654,-7.22809
449,-94.61975,1724.35608,-8.12836
450,-95.37048,1721.3562,-9.02863
451,-92.52014,1724.35608,-9.17816
452,-93.56995,1723.60535,-9.92889
453,-93.56995,1723.60535,-9.92889
454,-94.02008,1723.45581,-10.52856
455,-96.26923,1723.60535,-9.17816
456,-96.56982,1722.8562,-8.87909
457,-97.92023,1724.80615,-7.97882
458,-98.2193,1724.80615,-6.77795
459,-94.16962,1726.75635,-6.32935
460,-91.76941,1727.20642,-5.57861
461,-91.76941,1727.20642,-5.57861
462,-91.76941,1727.20642,-5.57861
463,-91.92047,1724.80615,-5.72815
464,-90.26947,1729.15649,-6.47888
465,-91.47034,1727.80615,-6.62842
466,-91.92047,1730.50537,-7.52869
467,-91.92047,1730.50537,-7.52869
468,-91.31927,1727.65649,-9.47876
469,-91.31927,1727.65649,-9.47876
470,-91.47034,1729.90576,-11.12823
471,-91.47034,1729.90576,-11.12823
472,-93.87054,1732.7561,-9.17816
473,-93.87054,1732.7561,-9.17816
474,-92.07001,1733.20618,-8.57849
475,-91.92047,1733.35571,-8.27789
476,-92.37061,1731.2561,-8.27789
477,-91.76941,1729.30603,-8.57849
478,-90.7196,1727.80615,-9.6283
479,-91.47034,1728.85596,-10.37903
480,-91.61987,1723.75635,-11.2793
481,-88.47046,1725.55542,-11.72791
482,-89.07013,1723.30627,-12.92877
483,-91.92047,1718.50586,-13.97858
484,-94.61975,1720.00586,-14.87885
