query_idx,reverse_tf,location,DTW_dist,query_idx_1,location_1,DTW_dist_1,validity,query_idx_2,location_2,DTW_dist_2,query_idx_3,location_3,DTW_dist_3,query_idx_4,location_4,DTW_dist_4
0,0,"['Sanghyeon', 'Seongbok', 'Suji-gu Office', 'Dongcheon', 'Migeum', 'Jeongja', 'Pangyo']",51595.70467749057,1,['Seongbok' 'Suji-gu Office' 'Dongcheon'],5208.466563737233,True,2,['Suji-gu Office' 'Dongcheon' 'Migeum'],4406.493385076598,3,['Dongcheon' 'Migeum' 'Jeongja'],6747.481969251723,4,['Migeum' 'Jeongja' 'Pangyo'],30540.173987513896
0,1,"['Cheonggyesan', 'Pangyo', 'Jeongja', 'Migeum', 'Dongcheon', 'Suji-gu Office', 'Seongbok']",95837.5781236352,1,['Pangyo' 'Jeongja' 'Migeum'],15287.103744496215,True,2,['Jeongja' 'Migeum' 'Dongcheon'],17793.799911910406,3,['Migeum' 'Dongcheon' 'Suji-gu Office'],21217.006944459416,4,['Dongcheon' 'Suji-gu Office' 'Seongbok'],32013.96389292978
0,0,"['Suji-gu Office', 'Dongcheon', 'Migeum', 'Jeongja', 'Pangyo', 'Cheonggyesan', 'Yangjae']",100929.08864105823,1,['Dongcheon' 'Migeum' 'Jeongja'],7019.075993031656,True,2,['Migeum' 'Jeongja' 'Pangyo'],28362.224761607966,3,['Jeongja' 'Pangyo' 'Cheonggyesan'],27845.496733536107,4,"['Cheonggyesan' ""Yangjae Citizen's Forest"" 'Yangjae']",23404.063981914616
0,0,"['Gwanggyo Jungang', 'Sanghyeon', 'Seongbok', 'Suji-gu Office', 'Dongcheon', 'Migeum', 'Jeongja']",107397.52129170494,1,['Sanghyeon' 'Seongbok' 'Suji-gu Office'],26887.00237998845,True,2,['Seongbok' 'Suji-gu Office' 'Dongcheon'],17464.388012607607,3,['Suji-gu Office' 'Dongcheon' 'Migeum'],20646.06199566371,4,['Dongcheon' 'Migeum' 'Jeongja'],12640.54109950805
0,1,"[""Yangjae Citizen's Forest"", 'Cheonggyesan', 'Pangyo', 'Jeongja', 'Migeum', 'Dongcheon', 'Suji-gu Office']",111154.4613610034,1,['Cheonggyesan' 'Pangyo' 'Jeongja'],41404.073999374574,True,2,['Pangyo' 'Jeongja' 'Migeum'],29629.732988840937,3,['Jeongja' 'Migeum' 'Dongcheon'],8646.77464534681,4,['Migeum' 'Dongcheon' 'Suji-gu Office'],20810.227602455423
0,1,"['Migeum', 'Dongcheon', 'Suji-gu Office', 'Seongbok', 'Sanghyeon', 'Gwanggyo Jungang', 'Gwanggyo']",112308.14658478825,1,['Dongcheon' 'Suji-gu Office' 'Seongbok'],19690.402768606742,True,2,['Suji-gu Office' 'Seongbok' 'Sanghyeon'],15168.283399886883,3,['Seongbok' 'Sanghyeon' 'Gwanggyo Jungang'],32776.71467913945,4,['Sanghyeon' 'Gwanggyo Jungang' 'Gwanggyo'],37157.32879103785
0,0,"['Migeum', 'Jeongja', 'Pangyo', 'Cheonggyesan', ""Yangjae Citizen's Forest"", 'Yangjae', 'Gangnam']",113737.06968926257,1,['Jeongja' 'Pangyo' 'Cheonggyesan'],20203.269052091448,True,2,"['Pangyo' 'Cheonggyesan' ""Yangjae Citizen's Forest""]",21963.847631671608,3,"['Cheonggyesan' ""Yangjae Citizen's Forest"" 'Yangjae']",20210.156611279035,4,"[""Yangjae Citizen's Forest"" 'Yangjae' 'Gangnam']",36555.285574109315
0,0,"['Suji-gu Office', 'Dongcheon', 'Migeum', 'Jeongja', 'Pangyo', 'Cheonggyesan', ""Yangjae Citizen's Forest""]",114903.27595274824,1,['Dongcheon' 'Migeum' 'Jeongja'],7019.075993031656,True,2,['Migeum' 'Jeongja' 'Pangyo'],28362.224761607966,3,['Jeongja' 'Pangyo' 'Cheonggyesan'],27845.496733536107,4,"['Pangyo' 'Cheonggyesan' ""Yangjae Citizen's Forest""]",37378.251293604626
0,1,"['Yangjae', ""Yangjae Citizen's Forest"", 'Cheonggyesan', 'Pangyo', 'Jeongja', 'Migeum', 'Dongcheon']",118363.72894276769,1,"[""Yangjae Citizen's Forest"" 'Cheonggyesan' 'Pangyo']",29021.66987302427,True,2,['Cheonggyesan' 'Pangyo' 'Jeongja'],24770.1505731086,3,['Pangyo' 'Jeongja' 'Migeum'],29979.88089950646,4,['Jeongja' 'Migeum' 'Dongcheon'],10561.438373595436
0,1,"['Jeongja', 'Migeum', 'Dongcheon', 'Suji-gu Office', 'Seongbok', 'Sanghyeon', 'Gwanggyo Jungang']",125616.91760670577,1,['Migeum' 'Dongcheon' 'Suji-gu Office'],22518.72594692168,True,2,['Dongcheon' 'Suji-gu Office' 'Seongbok'],27125.83974174798,3,['Suji-gu Office' 'Seongbok' 'Sanghyeon'],30856.890156739628,4,['Seongbok' 'Sanghyeon' 'Gwanggyo Jungang'],27260.03478271224
