query_idx,reverse_tf,location,DTW_dist,query_idx_1,location_1,DTW_dist_1,validity,query_idx_2,location_2,DTW_dist_2,query_idx_3,location_3,DTW_dist_3,query_idx_4,location_4,DTW_dist_4
0,0,"['Sanghyeon', 'Seongbok', 'Suji-gu Office', 'Dongcheon', 'Migeum', 'Jeongja', 'Pangyo']",44668.749721585686,1,['Seongbok' 'Suji-gu Office' 'Dongcheon'],7437.208380228453,True,2,['Suji-gu Office' 'Dongcheon' 'Migeum'],5133.600420192365,3,['Dongcheon' 'Migeum' 'Jeongja'],2895.3453172614245,4,['Migeum' 'Jeongja' 'Pangyo'],22808.37414870177
0,0,"['Suji-gu Office', 'Dongcheon', 'Migeum', 'Jeongja', 'Pangyo', 'Cheonggyesan', 'Yangjae']",76610.4212049114,1,['Dongcheon' 'Migeum' 'Jeongja'],7399.747452908195,True,2,['Migeum' 'Jeongja' 'Pangyo'],24062.87543560505,3,['Jeongja' 'Pangyo' 'Cheonggyesan'],15387.509858006573,4,"['Cheonggyesan' ""Yangjae Citizen's Forest"" 'Yangjae']",15049.85383604207
0,1,"['Cheonggyesan', 'Pangyo', 'Jeongja', 'Migeum', 'Dongcheon', 'Suji-gu Office', 'Seongbok']",79218.58315030902,1,['Pangyo' 'Jeongja' 'Migeum'],14858.680210703036,True,2,['Jeongja' 'Migeum' 'Dongcheon'],15485.870837099637,3,['Migeum' 'Dongcheon' 'Suji-gu Office'],12797.996225588702,4,['Dongcheon' 'Suji-gu Office' 'Seongbok'],21113.020429748824
0,0,"['Suji-gu Office', 'Dongcheon', 'Migeum', 'Jeongja', 'Pangyo', 'Cheonggyesan', ""Yangjae Citizen's Forest""]",89606.84727512735,1,['Dongcheon' 'Migeum' 'Jeongja'],7399.747452908195,True,2,['Migeum' 'Jeongja' 'Pangyo'],24062.87543560505,3,['Jeongja' 'Pangyo' 'Cheonggyesan'],15387.509858006573,4,"['Pangyo' 'Cheonggyesan' ""Yangjae Citizen's Forest""]",28046.279906258027
0,0,"['Migeum', 'Jeongja', 'Pangyo', 'Cheonggyesan', ""Yangjae Citizen's Forest"", 'Yangjae', 'Gangnam']",95839.20040765934,1,['Jeongja' 'Pangyo' 'Cheonggyesan'],22926.191634315895,True,2,"['Pangyo' 'Cheonggyesan' ""Yangjae Citizen's Forest""]",18953.33263414031,3,"['Cheonggyesan' ""Yangjae Citizen's Forest"" 'Yangjae']",13304.052160258181,4,"[""Yangjae Citizen's Forest"" 'Yangjae' 'Gangnam']",27353.259934230162
0,1,"[""Yangjae Citizen's Forest"", 'Cheonggyesan', 'Pangyo', 'Jeongja', 'Migeum', 'Dongcheon', 'Suji-gu Office']",98441.419005219,1,['Cheonggyesan' 'Pangyo' 'Jeongja'],42002.912616034744,True,2,['Pangyo' 'Jeongja' 'Migeum'],25085.553682508977,3,['Jeongja' 'Migeum' 'Dongcheon'],2726.8698762608415,4,['Migeum' 'Dongcheon' 'Suji-gu Office'],17273.516422418514
0,1,"['Yangjae', ""Yangjae Citizen's Forest"", 'Cheonggyesan', 'Pangyo', 'Jeongja', 'Migeum', 'Dongcheon']",98773.42638604448,1,"[""Yangjae Citizen's Forest"" 'Cheonggyesan' 'Pangyo']",32203.935480451608,True,2,['Cheonggyesan' 'Pangyo' 'Jeongja'],17695.199571333644,3,['Pangyo' 'Jeongja' 'Migeum'],22397.997024253436,4,['Jeongja' 'Migeum' 'Dongcheon'],5176.93138459239
0,0,"['Gwanggyo Jungang', 'Sanghyeon', 'Seongbok', 'Suji-gu Office', 'Dongcheon', 'Migeum', 'Jeongja']",103690.24625805803,1,['Sanghyeon' 'Seongbok' 'Suji-gu Office'],31843.31422279814,True,2,['Seongbok' 'Suji-gu Office' 'Dongcheon'],19494.106966514377,3,['Suji-gu Office' 'Dongcheon' 'Migeum'],17291.72981502107,4,['Dongcheon' 'Migeum' 'Jeongja'],6232.665286757442
0,1,"['Jeongja', 'Migeum', 'Dongcheon', 'Suji-gu Office', 'Seongbok', 'Sanghyeon', 'Gwanggyo Jungang']",109967.72043488166,1,['Migeum' 'Dongcheon' 'Suji-gu Office'],22534.954839543392,True,2,['Dongcheon' 'Suji-gu Office' 'Seongbok'],22069.270513096708,3,['Suji-gu Office' 'Seongbok' 'Sanghyeon'],19781.46613719345,4,['Seongbok' 'Sanghyeon' 'Gwanggyo Jungang'],24952.696725376038
0,1,"['Pangyo', 'Jeongja', 'Migeum', 'Dongcheon', 'Suji-gu Office', 'Seongbok', 'Sanghyeon']",110932.72943739097,1,['Jeongja' 'Migeum' 'Dongcheon'],15797.72904982989,True,2,['Migeum' 'Dongcheon' 'Suji-gu Office'],21109.12622264926,3,['Dongcheon' 'Suji-gu Office' 'Seongbok'],27325.342921574338,4,['Suji-gu Office' 'Seongbok' 'Sanghyeon'],33425.379652979944
0,1,"['Migeum', 'Dongcheon', 'Suji-gu Office', 'Seongbok', 'Sanghyeon', 'Gwanggyo Jungang', 'Gwanggyo']",114492.13490917408,1,['Dongcheon' 'Suji-gu Office' 'Seongbok'],22727.42715526727,True,2,['Suji-gu Office' 'Seongbok' 'Sanghyeon'],13819.912576499333,3,['Seongbok' 'Sanghyeon' 'Gwanggyo Jungang'],29877.168543009037,4,['Sanghyeon' 'Gwanggyo Jungang' 'Gwanggyo'],38489.04722027173
0,1,"['Gangnam', 'Yangjae', ""Yangjae Citizen's Forest"", 'Cheonggyesan', 'Pangyo', 'Jeongja', 'Migeum']",115557.69396653761,1,"['Yangjae' ""Yangjae Citizen's Forest"" 'Cheonggyesan']",9791.295988842654,True,2,"[""Yangjae Citizen's Forest"" 'Cheonggyesan' 'Pangyo']",18130.02405553383,3,['Cheonggyesan' 'Pangyo' 'Jeongja'],54240.276104814,4,['Pangyo' 'Jeongja' 'Migeum'],24287.573462753746
