query_idx,reverse_tf,location,DTW_dist,query_idx_1,location_1,DTW_dist_1,validity,query_idx_2,location_2,DTW_dist_2,query_idx_3,location_3,DTW_dist_3,query_idx_4,location_4,DTW_dist_4
0,0,"['Sanghyeon', 'Seongbok', 'Suji-gu Office', 'Dongcheon', 'Migeum', 'Jeongja', 'Pangyo']",57155.13376553335,1,['Seongbok' 'Suji-gu Office' 'Dongcheon'],5834.379332224465,True,2,['Suji-gu Office' 'Dongcheon' 'Migeum'],5065.602447522632,3,['Dongcheon' 'Migeum' 'Jeongja'],6510.565155599209,4,['Migeum' 'Jeongja' 'Pangyo'],34599.09994256784
0,1,"['Cheonggyesan', 'Pangyo', 'Jeongja', 'Migeum', 'Dongcheon', 'Suji-gu Office', 'Seongbok']",99399.89875359109,1,['Pangyo' 'Jeongja' 'Migeum'],15820.802669250043,True,2,['Jeongja' 'Migeum' 'Dongcheon'],20021.6857539054,3,['Migeum' 'Dongcheon' 'Suji-gu Office'],20880.681881880708,4,['Dongcheon' 'Suji-gu Office' 'Seongbok'],35470.07886266825
0,0,"['Suji-gu Office', 'Dongcheon', 'Migeum', 'Jeongja', 'Pangyo', 'Cheonggyesan', 'Yangjae']",106662.88383465457,1,['Dongcheon' 'Migeum' 'Jeongja'],7827.6226531476195,True,2,['Migeum' 'Jeongja' 'Pangyo'],28885.325318150033,3,['Jeongja' 'Pangyo' 'Cheonggyesan'],29254.095282390404,4,"['Cheonggyesan' ""Yangjae Citizen's Forest"" 'Yangjae']",25780.002097659442
0,0,"['Gwanggyo Jungang', 'Sanghyeon', 'Seongbok', 'Suji-gu Office', 'Dongcheon', 'Migeum', 'Jeongja']",108410.35725686702,1,['Sanghyeon' 'Seongbok' 'Suji-gu Office'],27181.983029830164,True,2,['Seongbok' 'Suji-gu Office' 'Dongcheon'],17998.397024883303,3,['Suji-gu Office' 'Dongcheon' 'Migeum'],21381.374759188722,4,['Dongcheon' 'Migeum' 'Jeongja'],12941.836954553375
0,0,"['Migeum', 'Jeongja', 'Pangyo', 'Cheonggyesan', ""Yangjae Citizen's Forest"", 'Yangjae', 'Gangnam']",113901.95674973245,1,['Jeongja' 'Pangyo' 'Cheonggyesan'],20878.26699594705,True,2,"['Pangyo' 'Cheonggyesan' ""Yangjae Citizen's Forest""]",21155.3094078011,3,"['Cheonggyesan' ""Yangjae Citizen's Forest"" 'Yangjae']",19713.438585517608,4,"[""Yangjae Citizen's Forest"" 'Yangjae' 'Gangnam']",37335.56514114565
0,1,"['Migeum', 'Dongcheon', 'Suji-gu Office', 'Seongbok', 'Sanghyeon', 'Gwanggyo Jungang', 'Gwanggyo']",116149.64876375088,1,['Dongcheon' 'Suji-gu Office' 'Seongbok'],20310.47629779359,True,2,['Suji-gu Office' 'Seongbok' 'Sanghyeon'],14950.870482189086,3,['Seongbok' 'Sanghyeon' 'Gwanggyo Jungang'],34395.39103059712,4,['Sanghyeon' 'Gwanggyo Jungang' 'Gwanggyo'],39284.54261537306
0,1,"[""Yangjae Citizen's Forest"", 'Cheonggyesan', 'Pangyo', 'Jeongja', 'Migeum', 'Dongcheon', 'Suji-gu Office']",117069.7270217832,1,['Cheonggyesan' 'Pangyo' 'Jeongja'],44679.36834114449,True,2,['Pangyo' 'Jeongja' 'Migeum'],30394.88987684,3,['Jeongja' 'Migeum' 'Dongcheon'],8090.324540066465,4,['Migeum' 'Dongcheon' 'Suji-gu Office'],23542.37038553204
0,1,"['Yangjae', ""Yangjae Citizen's Forest"", 'Cheonggyesan', 'Pangyo', 'Jeongja', 'Migeum', 'Dongcheon']",117431.6215241808,1,"[""Yangjae Citizen's Forest"" 'Cheonggyesan' 'Pangyo']",30556.8309326996,True,2,['Cheonggyesan' 'Pangyo' 'Jeongja'],24234.742906073327,3,['Pangyo' 'Jeongja' 'Migeum'],29656.977972747176,4,['Jeongja' 'Migeum' 'Dongcheon'],10951.376701732719
0,0,"['Suji-gu Office', 'Dongcheon', 'Migeum', 'Jeongja', 'Pangyo', 'Cheonggyesan', ""Yangjae Citizen's Forest""]",120294.6005302086,1,['Dongcheon' 'Migeum' 'Jeongja'],7827.6226531476195,True,2,['Migeum' 'Jeongja' 'Pangyo'],28885.325318150033,3,['Jeongja' 'Pangyo' 'Cheonggyesan'],29254.095282390404,4,"['Pangyo' 'Cheonggyesan' ""Yangjae Citizen's Forest""]",39411.71879321347
0,1,"['Jeongja', 'Migeum', 'Dongcheon', 'Suji-gu Office', 'Seongbok', 'Sanghyeon', 'Gwanggyo Jungang']",128155.0205727173,1,['Migeum' 'Dongcheon' 'Suji-gu Office'],24728.72868214772,True,2,['Dongcheon' 'Suji-gu Office' 'Seongbok'],28097.97926783312,3,['Suji-gu Office' 'Seongbok' 'Sanghyeon'],31633.31584058736,4,['Seongbok' 'Sanghyeon' 'Gwanggyo Jungang'],28477.071082708433
0,1,"['Pangyo', 'Jeongja', 'Migeum', 'Dongcheon', 'Suji-gu Office', 'Seongbok', 'Sanghyeon']",136145.4440923103,1,['Jeongja' 'Migeum' 'Dongcheon'],17940.88057562228,True,2,['Migeum' 'Dongcheon' 'Suji-gu Office'],26017.117634946415,3,['Dongcheon' 'Suji-gu Office' 'Seongbok'],33184.612202423225,4,['Suji-gu Office' 'Seongbok' 'Sanghyeon'],44121.48628728965
0,1,"['Gangnam', 'Yangjae', ""Yangjae Citizen's Forest"", 'Cheonggyesan', 'Pangyo', 'Jeongja', 'Migeum']",136868.4985059117,1,"['Yangjae' ""Yangjae Citizen's Forest"" 'Cheonggyesan']",9146.32073896324,True,2,"[""Yangjae Citizen's Forest"" 'Cheonggyesan' 'Pangyo']",22118.84726495617,3,['Cheonggyesan' 'Pangyo' 'Jeongja'],60704.021967060995,4,['Pangyo' 'Jeongja' 'Migeum'],35857.11289051174
