query_idx,reverse_tf,location,DTW_dist,query_idx_1,location_1,DTW_dist_1,validity,query_idx_2,location_2,DTW_dist_2,query_idx_3,location_3,DTW_dist_3,query_idx_4,location_4,DTW_dist_4
0,0,"['Sanghyeon', 'Seongbok', 'Suji-gu Office', 'Dongcheon', 'Migeum', 'Jeongja', 'Pangyo']",44738.45522631792,1,['Seongbok' 'Suji-gu Office' 'Dongcheon'],6870.114152727967,True,2,['Suji-gu Office' 'Dongcheon' 'Migeum'],3825.7981611300306,3,['Dongcheon' 'Migeum' 'Jeongja'],2790.3503396814153,4,['Migeum' 'Jeongja' 'Pangyo'],24419.53876128999
0,1,"['Cheonggyesan', 'Pangyo', 'Jeongja', 'Migeum', 'Dongcheon', 'Suji-gu Office', 'Seongbok']",81590.40003758424,1,['Pangyo' 'Jeongja' 'Migeum'],13695.933598510988,True,2,['Jeongja' 'Migeum' 'Dongcheon'],13323.480262336052,3,['Migeum' 'Dongcheon' 'Suji-gu Office'],13719.154515165703,4,['Dongcheon' 'Suji-gu Office' 'Seongbok'],27141.168400728613
0,0,"['Suji-gu Office', 'Dongcheon', 'Migeum', 'Jeongja', 'Pangyo', 'Cheonggyesan', 'Yangjae']",82773.68048544864,1,['Dongcheon' 'Migeum' 'Jeongja'],7191.034365417009,True,2,['Migeum' 'Jeongja' 'Pangyo'],26205.263336246386,3,['Jeongja' 'Pangyo' 'Cheonggyesan'],19778.664897630144,4,"['Cheonggyesan' ""Yangjae Citizen's Forest"" 'Yangjae']",17697.13899336618
0,0,"['Gwanggyo Jungang', 'Sanghyeon', 'Seongbok', 'Suji-gu Office', 'Dongcheon', 'Migeum', 'Jeongja']",92942.46828171672,1,['Sanghyeon' 'Seongbok' 'Suji-gu Office'],27753.33295173852,True,2,['Seongbok' 'Suji-gu Office' 'Dongcheon'],17512.879922231565,3,['Suji-gu Office' 'Dongcheon' 'Migeum'],16721.406266655405,4,['Dongcheon' 'Migeum' 'Jeongja'],6725.169240057071
0,0,"['Suji-gu Office', 'Dongcheon', 'Migeum', 'Jeongja', 'Pangyo', 'Cheonggyesan', ""Yangjae Citizen's Forest""]",93674.74247535304,1,['Dongcheon' 'Migeum' 'Jeongja'],7191.034365417009,True,2,['Migeum' 'Jeongja' 'Pangyo'],26205.263336246386,3,['Jeongja' 'Pangyo' 'Cheonggyesan'],19778.664897630144,4,"['Pangyo' 'Cheonggyesan' ""Yangjae Citizen's Forest""]",28598.20098327057
0,1,"[""Yangjae Citizen's Forest"", 'Cheonggyesan', 'Pangyo', 'Jeongja', 'Migeum', 'Dongcheon', 'Suji-gu Office']",96304.37828252894,1,['Cheonggyesan' 'Pangyo' 'Jeongja'],38151.58659633552,True,2,['Pangyo' 'Jeongja' 'Migeum'],27185.544816859572,3,['Jeongja' 'Migeum' 'Dongcheon'],2273.2249762847737,4,['Migeum' 'Dongcheon' 'Suji-gu Office'],19772.103389045733
0,0,"['Migeum', 'Jeongja', 'Pangyo', 'Cheonggyesan', ""Yangjae Citizen's Forest"", 'Yangjae', 'Gangnam']",98216.7218579009,1,['Jeongja' 'Pangyo' 'Cheonggyesan'],20757.93786873324,True,2,"['Pangyo' 'Cheonggyesan' ""Yangjae Citizen's Forest""]",21585.941512864334,3,"['Cheonggyesan' ""Yangjae Citizen's Forest"" 'Yangjae']",13827.929725681799,4,"[""Yangjae Citizen's Forest"" 'Yangjae' 'Gangnam']",27801.3121694989
0,1,"['Yangjae', ""Yangjae Citizen's Forest"", 'Cheonggyesan', 'Pangyo', 'Jeongja', 'Migeum', 'Dongcheon']",106396.67427668694,1,"[""Yangjae Citizen's Forest"" 'Cheonggyesan' 'Pangyo']",30611.41357449169,True,2,['Cheonggyesan' 'Pangyo' 'Jeongja'],22421.512933045306,3,['Pangyo' 'Jeongja' 'Migeum'],23554.093352863696,4,['Jeongja' 'Migeum' 'Dongcheon'],6824.620635693675
0,1,"['Jeongja', 'Migeum', 'Dongcheon', 'Suji-gu Office', 'Seongbok', 'Sanghyeon', 'Gwanggyo Jungang']",114651.69082105569,1,['Migeum' 'Dongcheon' 'Suji-gu Office'],21852.701704049527,True,2,['Dongcheon' 'Suji-gu Office' 'Seongbok'],24108.905616158558,3,['Suji-gu Office' 'Seongbok' 'Sanghyeon'],23277.088374467596,4,['Seongbok' 'Sanghyeon' 'Gwanggyo Jungang'],27057.44600343079
0,1,"['Pangyo', 'Jeongja', 'Migeum', 'Dongcheon', 'Suji-gu Office', 'Seongbok', 'Sanghyeon']",115655.29792191145,1,['Jeongja' 'Migeum' 'Dongcheon'],14808.17166034315,True,2,['Migeum' 'Dongcheon' 'Suji-gu Office'],25328.558263747716,3,['Dongcheon' 'Suji-gu Office' 'Seongbok'],27210.850183855517,4,['Suji-gu Office' 'Seongbok' 'Sanghyeon'],34159.627634490826
0,1,"['Migeum', 'Dongcheon', 'Suji-gu Office', 'Seongbok', 'Sanghyeon', 'Gwanggyo Jungang', 'Gwanggyo']",116356.40806769484,1,['Dongcheon' 'Suji-gu Office' 'Seongbok'],20167.892946293592,True,2,['Suji-gu Office' 'Seongbok' 'Sanghyeon'],15205.694571875985,3,['Seongbok' 'Sanghyeon' 'Gwanggyo Jungang'],30806.289928119077,4,['Sanghyeon' 'Gwanggyo Jungang' 'Gwanggyo'],40304.94963172006
