idx,x,y,z
0,0.86903,5.92291,7.9211
1,0.64159,6.51906,7.08313
2,0.66792,5.87981,7.85406
3,0.67509,6.31795,6.99933
4,0.70143,6.10487,7.45422
5,0.67989,6.20543,7.46381
6,0.7589,6.04022,7.73195
7,0.47638,6.18149,7.34888
8,0.73735,6.08571,7.70322
9,0.70383,6.11444,7.37282
10,0.40456,6.26048,7.44943
11,0.69664,6.29161,7.96658
12,0.43808,6.36343,7.0903
13,0.77805,6.19106,7.80379
14,0.7541,6.25092,7.36325
15,0.70622,6.34668,7.50211
16,1.04381,6.15515,6.82216
17,0.94325,6.03064,7.03046
18,1.38857,5.95882,7.2579
19,1.37181,5.73616,7.54521
20,0.94325,6.0905,7.57394
21,0.18428,6.52385,7.12143
22,-1.13971,6.91411,7.20044
23,-1.37674,7.70898,3.78871
24,-0.75664,7.4528,7.42789
25,1.0486,5.49673,7.47099
26,1.38139,5.93248,7.54999
27,0.69424,5.69547,7.76308
28,0.0143,6.23654,7.16692
29,0.37582,6.44005,7.17171
30,-0.17006,6.70102,8.15094
31,-0.51482,6.77763,6.73836
32,1.18506,6.04022,8.00967
33,1.75967,5.36984,8.01686
34,2.04938,4.51033,6.11108
35,0.83072,5.5542,8.14136
36,1.29999,5.58293,9.54675
37,1.03662,5.04424,8.07193
38,0.99593,5.33873,9.01764
39,0.98874,5.24535,7.97377
40,1.00789,5.28127,8.33769
41,0.90254,5.33154,8.12221
42,0.62961,5.4321,7.86363
43,0.80438,5.69067,7.53084
44,0.56735,5.67152,7.95702
45,0.48117,5.56139,7.43747
46,0.67509,5.90375,7.83969
47,0.33034,5.82236,8.2467
48,0.31357,5.79602,7.98335
49,0.54341,6.08093,7.65773
50,0.17232,5.57335,7.50211
51,0.62003,5.64519,7.50929
52,1.06535,5.44167,7.3848
53,0.70862,5.58054,8.39037
54,0.5506,5.78404,8.71837
55,0.40935,5.47519,7.80617
56,0.52426,5.75291,8.42387
57,0.33273,5.6763,8.14136
58,0.40216,5.72418,7.52127
59,0.64876,5.8822,7.5883
60,0.38541,5.97798,7.68167
61,0.43568,5.91333,7.55478
62,0.63919,5.83192,7.29381
63,0.05978,6.07854,7.41832
64,0.37103,6.0522,7.7128
65,0.59131,6.23177,7.97137
