idx,x,y,z
0,-0.01353,-0.01122,-0.01187
1,-0.02881,0.0236,0.02234
2,0.0561,0.04742,-0.01798
3,-0.01048,-0.00878,-0.02531
4,0.02678,0.02115,-0.04791
5,0.03656,0.03948,-0.03264
6,-0.00193,0.0126,-0.0363
7,0.01579,-0.00817,-0.02714
8,-0.01964,-0.00939,-0.00515
9,0.02128,0.01505,-0.01981
10,0.0671,-0.00756,-0.03936
11,0.0445,-0.00084,-0.00515
12,0.06343,0.01688,0.00585
13,0.07748,0.01199,-0.02225
14,0.07138,0.00466,-0.0192
15,0.07076,0.04864,0.02356
16,0.04266,0.07125,-0.00148
17,0.01212,0.03215,-0.01553
18,-0.03247,-0.02771,-0.00576
19,0.01518,-0.0155,-0.03569
20,0.02373,0.00344,-0.0528
21,0.02128,-0.02161,-0.01187
22,0.01579,-0.01916,0.00218
23,0.04877,-0.00633,-0.01431
24,0.01334,0.04681,-0.00148
25,-0.03369,0.00588,0.03395
26,-0.02392,0.02054,0.01318
27,0.0109,0.03826,-0.03569
28,-0.02087,-0.00817,-0.02836
29,-0.02575,-0.01244,-0.03813
30,-0.02575,-0.0326,-0.01492
31,0.04083,-0.00267,-0.04974
32,0.02067,-0.00206,-0.04424
33,0.03595,-0.01672,-0.04669
34,0.04083,0.01382,-0.02531
35,-0.01353,0.02604,-0.02225
36,0.00907,-0.00206,-0.00087
37,-0.04591,0.01077,0.01073
38,0.00601,0.00038,-0.03141
39,0.00785,-0.01367,-0.0247
40,0.02923,-0.0271,-0.01798
41,0.0445,0.01688,-0.02836
42,0.05549,0.01321,-0.04852
43,0.03411,-0.02344,-0.02714
44,-0.01476,0.00466,-0.00698
45,0.04389,-0.0045,-0.03752
46,0.05916,0.00161,-0.0308
47,0.05,0.02238,0.00402
48,0.03228,-0.01916,-0.01737
49,0.01518,0.00527,-0.02714
50,0.01518,0.00955,-0.02836
51,0.03778,-0.00695,-0.02897
52,-0.02697,-0.0271,-0.03386
53,-0.00315,0.01505,-0.04241
54,0.01823,-0.0271,-0.03019
55,0.05061,0.00955,-0.01859
56,0.00174,0.02726,-0.02408
57,-0.01231,-0.01428,-0.00087
58,0.02006,-0.02283,-0.00393
59,0.00907,0.00833,-0.02897
60,-0.00804,-0.00267,-0.05402
61,-0.01964,0.01505,-0.01981
62,-0.01048,-0.01916,-0.01981
63,-0.0001,0.01627,-0.03325
64,0.02495,-0.00145,-0.04363
65,0.02006,0.00894,-0.0247
66,0.01456,0.00038,-0.03019
67,0.05,-0.00084,-0.05402
68,-0.00865,-0.01244,-0.01798
69,0.00846,0.01199,-0.0528
70,0.039,0.00466,-0.02775
71,0.02067,0.01505,-0.03936
72,0.01762,-0.00572,-0.03141
73,0.01456,0.00038,-0.02286
74,0.02923,0.02177,-0.03936
75,0.039,-0.0155,-0.05951
