idx,x,y,z
0,4.7,-6.4,-76.1
1,5.0,-6.3,-76.9
2,4.5,-6.4,-77.7
3,4.8,-7.0,-78.5
4,5.5,-7.4,-78.8
5,6.5,-7.9,-79.5
6,7.4,-7.9,-80.0
7,7.6,-7.8,-80.7
8,5.2,-6.8,-81.7
9,3.2,-6.0,-81.2
10,2.4,-6.1,-81.0
11,2.3,-5.9,-82.2
12,1.5,-6.0,-82.3
13,0.6,-5.8,-82.3
14,0.6,-6.1,-81.5
15,2.4,-7.4,-78.9
16,4.7,-8.0,-77.3
17,6.1,-8.4,-76.2
18,3.0,-7.6,-77.0
19,2.8,-8.4,-76.7
20,1.9,-8.1,-75.5
21,0.9,-7.2,-75.0
22,1.3,-7.2,-76.3
23,0.9,-7.5,-76.2
24,1.0,-7.2,-76.4
25,12.6,-8.5,-80.3
26,17.0,-7.1,-85.3
27,19.5,-7.1,-89.6
28,18.0,-5.9,-93.4
29,11.0,-2.3,-95.4
30,7.7,-3.4,-93.6
31,6.7,-3.6,-90.6
32,5.6,-4.6,-89.2
33,4.3,-4.9,-90.6
34,2.2,-3.9,-90.7
35,2.1,-4.6,-90.2
36,2.9,-4.9,-87.9
37,1.7,-5.7,-86.7
38,5.7,-7.3,-85.6
39,7.5,-7.9,-85.5
40,9.2,-7.1,-86.4
41,5.7,-6.7,-86.5
42,7.0,-7.0,-85.4
43,7.8,-7.0,-85.8
44,7.2,-6.7,-86.3
45,6.4,-6.6,-86.8
46,5.4,-6.6,-87.0
47,5.1,-7.2,-87.2
48,5.2,-8.2,-87.5
49,5.0,-9.6,-88.6
50,3.9,-10.7,-89.2
51,2.7,-12.0,-88.6
52,-0.4,-11.9,-88.0
53,-1.1,-12.5,-88.0
54,-0.6,-11.8,-87.9
55,-1.3,-12.0,-88.0
56,-1.9,-11.5,-87.1
57,-2.1,-10.4,-86.3
58,-1.9,-9.9,-85.8
59,-0.9,-8.6,-84.2
60,0.0,-7.3,-84.0
61,0.0,-6.5,-82.9
62,0.4,-5.6,-82.6
63,0.3,-4.9,-82.3
64,-0.6,-3.8,-83.0
65,-1.3,-3.6,-84.9
66,-1.8,-3.5,-86.2
67,-2.1,-3.8,-88.5
68,-2.2,-4.3,-88.7
69,-1.5,-4.6,-89.1
70,3.8,-7.2,-91.2
71,7.0,-8.8,-92.3
72,9.5,-9.2,-93.3
73,10.4,-9.1,-94.6
74,8.7,-7.6,-94.1
75,9.2,-8.1,-94.3
76,9.4,-7.7,-94.4
77,8.4,-6.5,-94.9
78,6.8,-5.6,-94.0
79,5.8,-4.0,-93.7
80,4.5,-3.5,-92.5
81,4.4,-3.5,-89.5
82,4.6,-3.0,-87.3
83,3.6,-2.9,-87.7
84,4.3,-2.8,-85.5
85,4.9,-2.6,-84.7
86,4.3,-2.3,-84.0
87,4.8,-2.1,-83.4
88,4.7,-1.5,-83.3
89,4.8,-0.7,-83.6
90,4.7,0.1,-84.2
91,4.3,1.1,-84.7
92,4.4,1.8,-85.1
93,4.7,2.5,-84.8
94,4.6,2.9,-84.5
95,4.1,3.5,-83.5
96,3.4,3.5,-82.5
97,-1.4,2.5,-82.2
98,-3.8,2.1,-81.1
99,-3.1,1.4,-82.0
100,-3.5,1.0,-81.0
101,-3.9,1.4,-81.1
102,-4.1,0.9,-81.4
103,-2.1,0.1,-81.5
104,6.1,-1.4,-80.2
105,9.3,-1.9,-80.2
106,9.4,-0.4,-79.4
107,9.1,-0.5,-80.8
108,5.5,0.7,-81.5
109,4.9,0.5,-81.2
110,2.9,-0.2,-81.2
111,2.1,-0.8,-81.4
112,1.3,-1.9,-83.2
113,0.8,-2.1,-82.8
114,0.2,-1.9,-82.7
115,0.3,-3.7,-82.7
116,1.6,-5.7,-82.3
117,2.5,-6.8,-82.5
118,2.2,-6.8,-83.1
119,2.9,-7.2,-82.2
120,2.6,-6.8,-81.7
121,2.1,-5.7,-80.0
122,1.7,-4.8,-79.6
123,1.5,-3.6,-79.6
124,0.7,-3.3,-79.3
125,-0.3,-2.4,-78.7
126,-0.7,-1.7,-78.0
127,-1.3,-1.5,-77.4
128,-1.8,-1.5,-77.0
129,-2.2,-2.0,-76.8
130,-1.8,-2.5,-76.8
131,-0.1,-3.6,-78.2
132,1.0,-4.1,-79.6
133,2.1,-4.1,-80.9
134,2.5,-3.8,-82.9
135,2.1,-3.3,-84.4
136,1.6,-3.2,-85.6
137,1.4,-2.7,-85.7
