idx,x,y,z
0,0.04842,0.00632,0.01025
1,0.01543,0.01243,0.00964
2,-0.01573,-0.01872,-0.00686
3,0.04108,0.04908,0.00231
4,0.02642,-0.01811,-0.02396
5,0.03009,0.00694,-0.00624
6,0.03009,-0.03827,-0.01724
7,0.04475,-0.00101,0.00964
8,0.05147,0.0277,-0.01724
9,0.01482,0.01304,-0.00991
10,-0.02733,-0.0511,-0.04778
11,0.00077,-0.00101,-0.0429
12,0.03314,0.02954,-0.03373
13,0.03253,-0.023,-0.0264
14,0.10095,0.04847,0.00231
15,0.01665,0.02099,0.00109
16,-0.00045,-0.0346,-0.00502
17,0.01665,-0.00406,0.00597
18,-0.02306,-0.03521,-0.01113
19,-0.03039,-0.02544,0.00475
20,-0.06032,-0.02605,-0.01296
21,0.03803,0.00449,-0.00686
22,0.01237,0.00205,-0.0093
23,0.01237,0.00205,-0.0093
24,0.00199,-0.00956,-0.00747
25,0.04842,0.02648,0.00903
26,-0.00229,0.01854,0.01636
27,0.01115,0.00083,0.0359
28,0.01848,0.02526,0.03468
29,0.00321,-0.00773,0.03163
30,-0.00412,0.01304,0.03652
31,-0.03955,-0.01139,0.02491
32,0.01726,0.00266,0.0188
33,-0.02245,-0.02544,0.00292
34,0.00077,-0.00223,0.00047
35,0.04842,0.00694,-0.00258
36,0.07041,0.01182,-0.00747
37,0.0252,0.01243,0.00047
38,-0.05849,-0.04621,-0.01602
39,0.03131,-0.02422,0.00536
40,0.02215,0.07352,-0.00197
41,-0.0145,-0.05843,-0.00869
42,0.03681,-0.02239,0.03346
43,0.12294,0.01182,0.02857
44,0.02154,0.0332,-0.00808
45,-0.0255,0.09673,-0.04473
46,-0.04138,0.05275,-0.04778
47,-0.01389,0.07352,-0.03007
48,-0.05238,0.04481,0.00109
49,-0.12507,-0.16411,-0.05511
50,-0.11041,-0.20504,-0.08077
51,-0.09514,-0.11585,-0.12292
52,0.01726,-0.01872,-0.11131
53,0.0588,0.0106,-0.07711
54,0.02765,0.00694,-0.11498
55,0.03559,-0.00467,-0.13269
56,-0.04077,0.02343,-0.0991
57,-0.10002,-0.08103,-0.12292
58,0.03803,0.11567,-0.06244
59,0.00749,0.04237,-0.06122
60,-0.08292,-0.00406,-0.02091
61,-0.03833,-0.05415,0.04995
62,-0.15256,-0.05537,0.08111
63,-0.24419,0.04237,-0.07344
64,0.00199,0.22257,-0.04534
65,-0.06887,0.13033,-0.04839
66,-0.08598,0.00938,0.01697
67,-0.02611,0.06252,0.05667
68,-0.10064,-0.02483,0.0805
69,-0.1434,-0.02483,0.0243
70,-0.04138,0.02282,-0.01541
71,0.05636,0.08268,0.00536
72,0.0588,-0.04438,0.07317
73,-0.02245,-0.0963,0.05912
74,0.05452,-0.03216,0.05973
75,0.08323,-0.03827,0.04201
76,0.00138,-0.0908,0.07317
77,-0.08292,-0.05598,-0.02335
78,-0.00229,0.0051,-0.03984
79,0.02581,-0.05354,-0.01235
80,0.02459,-0.06637,-0.01113
81,-0.02183,-0.00956,-0.01358
82,0.07346,-0.09874,0.02674
83,0.04597,-0.00895,0.01514
84,-0.00717,-0.08531,-0.03251
85,0.0136,-0.01811,-0.00747
86,0.03131,-0.04377,-0.00319
87,0.05941,-0.01383,0.04079
88,-0.01573,-0.02178,0.02857
89,0.00688,0.03626,0.04812
90,-0.03894,0.00816,0.04568
91,0.02215,-0.00956,0.08355
92,0.00627,0.01304,0.04507
93,0.05452,-0.00467,-0.01052
94,0.11805,-0.03888,-0.01541
95,-0.03894,-0.02483,-0.02091
96,-0.12507,-0.158,-0.12659
97,0.07896,0.05458,-0.1272
98,0.02215,-0.00773,-0.08138
