idx,x,y,z
0,-2.02795,7.84306,6.21643
1,-2.20273,7.66589,5.69209
2,-1.98486,7.62518,6.30022
3,-2.04233,7.42407,5.32817
4,-2.19556,7.46716,5.649
5,-2.11415,7.41449,5.71124
6,-2.10696,7.35464,5.56281
7,-2.16443,7.64912,5.71603
8,-2.16443,7.72574,5.18932
9,-2.34399,7.97952,5.6897
10,-2.29372,8.04657,5.81898
11,-2.30568,8.17346,6.21883
12,-2.11415,8.01065,5.97221
13,-2.22189,8.17586,6.07756
14,-2.20033,8.2357,5.87885
15,-2.31526,8.13275,6.03926
16,-2.19077,7.98431,5.94827
17,-1.86754,7.74728,5.96265
18,-1.88191,7.67307,5.46944
19,-2.03514,7.74728,5.66336
20,-2.40384,7.51505,5.10312
21,-2.39427,7.64673,5.2372
22,-2.22427,7.55336,5.55801
23,-2.31766,7.51505,5.45267
24,-2.08302,7.40013,5.95546
25,-2.74622,8.13275,5.66576
26,-3.07182,8.04178,5.07918
27,-3.19394,8.17825,5.68013
28,-1.89867,7.98671,4.73442
29,-1.45096,7.95798,5.66336
30,-1.93938,8.02502,5.13904
31,-2.20033,8.24289,5.41916
32,-2.10457,8.02502,5.59633
33,-2.15964,7.72574,5.80942
34,-2.41821,7.65871,5.92912
35,-1.7215,7.71138,5.83813
36,-1.73108,7.52463,5.75435
37,-1.6353,7.59645,5.57478
38,-1.73108,7.60603,5.40239
39,-2.10217,7.73532,4.95947
40,-2.01599,7.91249,5.98897
41,-1.77657,7.79996,5.65379
42,-2.08781,8.02023,5.69209
43,-2.01837,8.04657,6.17093
44,-1.5994,7.97235,5.90518
45,-1.81248,7.8239,6.29544
46,-2.47806,7.71855,6.25473
47,-2.37512,7.64194,6.396
48,-1.94415,7.59406,6.33853
49,-1.97768,7.67307,6.29065
50,-2.0088,7.60124,5.18932
51,-1.79811,7.79756,5.60352
52,-1.85558,7.70419,5.67055
53,-1.6808,7.60364,6.28346
54,-1.17323,7.59406,5.55324
55,-1.72868,8.00346,5.8118
56,-1.56827,7.96756,5.58914
57,-1.52997,8.01784,5.24916
58,-1.99922,7.98431,5.58914
59,-2.20273,8.00107,6.14699
60,-1.35997,7.76645,5.32578
61,-1.28096,8.07768,6.85329
62,-1.7191,7.80714,4.85173
63,-1.67122,8.01065,6.57556
64,-1.51799,7.539,5.06003
65,-1.56108,7.94601,6.09431
66,-1.75981,7.83588,5.13185
67,-1.87952,7.97952,6.35049
68,-1.61136,7.65392,4.41599
69,-1.82924,7.88136,5.53886
70,-1.97049,7.85503,5.6059
71,-1.73108,7.83109,6.05362
72,-1.74304,7.95079,6.01053
73,-1.86993,7.92924,6.20685
74,-1.89627,7.81433,5.94348
75,-1.32884,7.9101,5.99136
76,-1.4294,7.86461,5.07918
77,-1.36955,8.03699,6.0153
78,-1.64249,7.7856,5.23959
79,-1.57785,7.99629,5.94348
80,-1.74544,7.85503,5.479
81,-1.89627,7.93404,5.54605
82,-1.47969,7.96516,5.43591
83,-1.42462,7.83588,6.23798
84,-1.81487,7.51984,5.40001
85,-1.91782,7.95319,6.38162
86,-1.37434,7.74251,5.18213
87,-1.8053,8.02023,5.67294
88,-1.97289,8.2357,5.14861
89,-1.44617,8.01065,5.41676
90,-1.73825,8.1998,6.12305
91,-1.58981,8.09924,5.06721
92,-1.90585,8.24768,5.72801
93,-1.5563,8.14233,4.51654
94,-1.95613,8.03459,5.87405
95,-1.52518,8.33386,5.54605
96,-1.16844,7.89812,4.44951
97,-1.73108,7.98911,5.83336
98,-1.4725,7.90051,6.05122
99,-1.5132,7.65871,6.29305
100,-1.52997,7.72095,5.91714
101,-1.74783,7.76166,6.27148
102,-2.09738,7.69223,4.93793
103,-1.74544,7.78081,5.42155
104,-1.54193,7.72813,4.45908
105,-1.46053,7.97713,6.25952
106,-1.73825,8.19501,5.82857
107,-1.34801,8.16388,5.14143
108,-1.3049,8.25487,5.78308
109,-1.25462,8.20937,5.6059
110,-0.93381,8.34105,6.07516
111,-0.5603,8.15909,4.78708
112,-0.80212,7.88376,5.78069
113,-0.99367,8.00586,5.61548
114,-1.3911,7.89095,5.479
115,-1.75023,7.68983,5.24678
116,-1.73347,7.62758,5.33057
117,-2.06866,7.72813,5.8573
118,-1.75742,7.62279,5.99615
119,-1.77417,7.73532,6.23798
120,-1.32646,7.88855,5.71364
121,-1.42223,7.96996,6.2691
122,-1.75742,8.08966,5.79504
123,-1.76459,7.89334,5.17734
124,-1.41025,8.10402,6.8485
125,-1.49884,7.91728,5.69928
126,-1.22112,7.95558,5.57239
127,-1.61615,7.82869,5.88603
128,-1.74783,7.69701,5.77589
129,-1.91542,7.72813,5.43831
130,-2.02077,7.80714,5.17734
131,-1.86993,7.86461,5.10072
132,-2.23146,8.06332,4.94031
133,-2.14288,8.21655,5.00735
134,-2.15245,8.34105,5.49817
135,-1.61615,7.91489,6.5157
136,-1.37434,7.78799,6.15657
137,-1.925,7.82629,7.06636
138,-1.67841,7.64912,5.63463
139,-2.00162,7.83827,5.87166
140,-1.33363,7.47195,6.03207
141,-1.82684,7.58688,6.05841
142,-2.31047,7.42407,5.37845
143,-1.8029,7.37379,5.95786
144,-2.0519,7.5773,5.18692
145,-1.76219,7.96756,5.68013
146,-1.79332,7.85982,5.65857
147,-1.75981,7.98671,5.93391
148,-1.49165,8.40091,5.60352
149,-1.42702,8.1998,4.60751
150,-1.17323,8.04657,6.68568
151,-1.75981,8.15669,6.04404
152,-1.33363,7.74489,5.87885
153,-1.90346,7.45041,6.36008
154,-1.36476,7.369,5.33296
155,-1.6808,7.37379,5.90279
156,-1.7215,7.42886,5.5676
157,-2.62651,7.95079,5.64182
158,-1.97768,8.08727,5.19649
159,-2.2171,8.10402,5.33536
160,-1.83403,7.91728,5.54605
161,-1.61375,8.02263,5.87885
162,-1.25702,8.02263,5.55801
163,-1.60896,8.12558,6.06558
164,-1.8867,8.25008,4.75357
165,-2.29851,8.24049,5.57956
166,-2.3775,8.17107,5.34972
167,-1.74304,7.88136,5.81419
168,-1.01282,7.51027,5.96265
169,-1.30969,7.70898,6.64738
170,-1.13731,7.55815,6.15897
171,-1.22589,7.73293,5.5269
172,-1.26421,8.10641,6.31459
173,-1.53235,7.77362,5.33057
174,-1.19717,7.74728,6.00813
175,-1.16605,7.79039,5.99136
176,-1.3887,7.72813,5.76152
177,-1.38631,7.80714,5.95546
178,-1.57545,7.62039,6.37683
179,-1.36476,7.87178,5.14861
180,-1.56827,7.89334,7.27945
181,-1.28096,7.2876,5.17255
182,-1.74783,7.59885,7.03046
183,-2.15005,7.48393,6.26431
184,-1.58264,7.94122,5.57956
185,-1.62094,7.83109,6.33134
186,-1.8867,7.77362,5.65617
187,-1.56348,7.95079,5.49577
188,-1.37434,7.94122,5.01932
189,-1.57545,7.90051,5.97461
190,-1.4749,7.97713,6.47021
191,-1.62094,8.05135,5.27789
192,-1.43898,7.94122,5.87166
193,-1.13013,7.60603,5.74477
194,-1.49405,7.50787,5.97461
195,-1.70714,7.69223,5.89081
196,-1.94415,7.66827,5.39761
197,-1.60896,7.72095,5.40958
198,-1.54193,7.80235,5.55801
199,-1.46532,7.81673,6.48697
200,-1.75262,7.83827,5.07678
201,-1.74065,8.16867,5.59393
202,-1.43898,8.14473,5.65617
203,-1.14928,7.97235,6.28107
204,-0.63214,7.77602,5.56999
205,-1.21153,7.94122,6.02249
206,-1.58025,7.79279,5.84532
207,-1.67841,7.77841,5.71603
208,-1.64967,7.61322,5.99615
209,-1.60658,7.6994,5.93631
210,-1.41743,7.71138,6.10629
211,-1.49405,7.75447,6.19249
212,-1.597,7.65152,5.3569
213,-1.47011,7.89095,6.24037
214,-1.64488,7.64433,6.21883
215,-1.52997,7.91728,5.69209
216,-1.58025,7.9077,5.23001
217,-1.56348,8.01305,6.17093
218,-1.62334,7.89095,5.30183
219,-1.80051,7.92685,5.48619
220,-1.40546,7.88615,5.20607
221,-1.5563,7.77602,6.44627
