types,name,longitude,latitude
station,Jeongja,127.10842434999999,37.366785475
path,none,127.108407175,37.367645025
path,none,127.108393025,37.3688331
path,none,127.10837444999999,37.370173625
path,none,127.10836657499999,37.371852525
path,none,127.10835647500001,37.37352165
path,none,127.108397225,37.375112375
path,none,127.108587125,37.3767312
path,none,127.10895297500001,37.378349125
path,none,127.1095967,37.3802452
path,none,127.110229725,37.38194515
path,none,127.110738275,37.38380875
path,none,127.11106445,37.3859536
path,none,127.11115805,37.3879364
path,none,127.11117734999999,37.389748725000004
path,none,127.11117387499999,37.3914199
path,none,127.1111727,37.392602024999995
station,Pangyo,127.111132575,37.393437575
