types,name,longitude,latitude
station,Suji-gu Office,127.093616525,37.321943725000004
path,none,127.0952458,37.322850175
path,none,127.09571614999999,37.32311320000001
path,none,127.09614217499998,37.32336625
path,none,127.097340325,37.324103375
path,none,127.09866417500001,37.324932
path,none,127.100053825,37.3258166
path,none,127.1014917,37.326741625
path,none,127.1020624,37.3273156
path,none,127.1023354,37.327871825
path,none,127.102550225,37.329184274999996
path,none,127.1027236,37.33060585
path,none,127.102771975,37.331773674999994
path,none,127.102791075,37.333081075
path,none,127.1027918,37.3342096
path,none,127.10277609999999,37.335444125
station,Dongcheon,127.102792325,37.33697315
