types,name,longitude,latitude
station,Pangyo,127.111132575,37.393437575
path,none,127.111124475,37.394435324999996
path,none,127.11111452499999,37.395482799999996
path,none,127.111127975,37.396520575
path,none,127.11112015,37.3976529
path,none,127.111104075,37.399066725
path,none,127.1110903,37.4002992
path,none,127.1110451,37.401478025
path,none,127.11098007499999,37.402654475000006
path,none,127.11086685,37.4035142
path,none,127.11070515,37.4041471
path,none,127.110353575,37.404828175
path,none,127.10980325,37.40552567499999
path,none,127.108952525,37.40623765
path,none,127.10767695,37.407058725
path,none,127.10588457499999,37.4079901
path,none,127.1035929,37.409091175
path,none,127.100542325,37.410510675
path,none,127.0959364,37.412813325
path,none,127.091504375,37.415080675
path,none,127.08699347499999,37.417553475000005
path,none,127.081825775,37.420880999999994
path,none,127.077693775,37.42411375
path,none,127.072760625,37.42839525
path,none,127.067827475,37.432937374999995
path,none,127.06357905,37.437646674999996
path,none,127.05994207500001,37.44178515
path,none,127.05733144999999,37.44490335
station,Cheonggyesan,127.055550975,37.447223075
