types,name,longitude,latitude
station,Cheonggyesan,127.055550975,37.447223075
path,none,127.05481937500001,37.448042175
path,none,127.05411525,37.448786925
path,none,127.05341745,37.449543874999996
path,none,127.05243974999999,37.45062035
path,none,127.0514735,37.4516676
path,none,127.05054875,37.4527084
path,none,127.04963502499999,37.453730975
path,none,127.048503175,37.454973975
path,none,127.04655305,37.457186525
path,none,127.04452552499998,37.45946285
path,none,127.04224807499999,37.462037800000004
path,none,127.04041065,37.46412855
path,none,127.039388,37.465387075
path,none,127.03871387499998,37.466669925000005
path,none,127.038541825,37.467762725
station,Yangjae Citizen's Forest,127.03838725,37.46901105
