idx,x,y,z
0,-0.04146,0.03876,0.02716
1,0.01714,-0.04434,-0.06871
2,0.09277,0.09308,-0.02611
3,-0.03293,0.01213,-0.01332
4,-0.04465,0.05899,0.07297
5,0.00648,-0.01451,-0.05273
6,0.10449,0.13249,0.00798
7,0.11407,-0.04646,-0.0506
8,0.11726,0.02171,-0.08469
9,0.03204,-0.04434,-0.01971
10,-0.0649,-0.06458,-0.01225
11,0.10982,0.03236,0.01118
12,0.02885,0.03983,0.15179
13,-0.02654,-0.00491,0.00266
14,-0.09259,-0.03156,0.155
15,-0.04358,0.00253,0.01437
16,-0.01588,0.06432,-0.03143
17,-0.10217,-0.06032,-0.01225
18,0.02779,0.07498,-0.03995
19,-0.02974,-0.11357,0.03888
20,0.02246,0.04301,0.0719
21,0.02353,0.00467,0.01331
22,0.02139,0.1144,0.02609
23,-0.01802,0.0345,-0.00053
24,9e-05,0.06645,0.02502
25,-0.0553,0.04941,-0.03143
26,-0.07448,-0.02516,-0.00374
27,0.01714,-0.01877,-0.00053
28,-0.12029,0.07071,0.0506
29,0.06613,0.05473,-0.0325
30,0.02672,0.00467,0.02716
31,-0.0372,0.00253,0.01331
32,0.1407,0.12505,-0.07297
33,0.03099,-0.05499,0.05379
34,-0.0798,0.02704,-0.02397
35,-0.15118,-0.01558,0.01651
36,0.0672,0.04941,0.04846
37,0.10768,-0.00598,0.03674
38,-0.05637,-0.07629,0.00798
39,0.10022,0.0984,0.03035
40,-0.04572,-0.05605,-0.02078
41,0.03525,0.03555,-0.01651
42,0.0704,0.01213,-0.03783
43,-0.07341,-0.05072,-0.02397
44,-0.0553,-0.05925,-0.04741
45,0.00328,0.00146,0.03568
46,-0.00737,-0.00705,-0.04634
47,0.03311,-0.0273,0.0197
48,0.00328,0.00999,-0.01118
49,0.07253,0.1048,0.0293
50,0.02246,-0.12317,0.05592
51,0.01607,0.00146,-0.05487
52,0.04803,0.00467,0.00693
53,-0.02121,-0.02942,0.00798
54,0.06187,0.02171,0.0442
55,-0.01802,-0.00919,0.0293
56,0.02139,-0.00598,0.04739
57,-0.0063,-0.06776,0.02823
58,-0.01482,-0.01451,-0.01118
59,-0.03932,-0.00279,0.00586
60,-0.03081,0.03876,-0.01971
61,-0.06062,0.00041,-0.03888
62,-0.07129,0.06326,-0.00053
63,-0.06808,-0.03581,-0.0506
64,0.07678,0.06859,-0.01332
65,-0.03081,-0.06776,0.00586
66,-0.03081,-0.04221,0.03249
67,-0.034,0.00786,0.02502
68,0.00223,-0.05499,0.03888
69,0.08318,-0.00386,0.03035
70,-0.02228,-0.03156,-0.01225
71,0.09171,0.01213,-0.01332
72,0.02246,-0.01025,-0.04527
73,-0.02228,0.04515,-0.0293
74,-0.0553,-0.00386,-0.05273
75,0.00328,0.05899,-0.02397
76,-0.05211,-0.04967,-0.04315
77,0.01607,0.01106,-0.02611
78,-0.00417,-0.00172,-0.0325
79,-0.0489,-0.04646,0.00053
80,-0.03825,-0.0486,-0.01651
81,-0.0649,-0.05392,-0.01971
82,0.01074,-0.01663,-0.0325
83,0.00648,-0.05179,-0.01546
84,-0.02228,-0.0177,-0.01118
85,0.09917,0.06113,0.03142
86,-0.03081,0.0313,0.03674
87,-0.02016,0.06752,0.05806
88,-0.0553,0.00146,0.04314
89,-0.02867,0.04195,0.04739
90,0.00542,-0.00812,0.04207
91,-0.02016,0.01106,0.03568
92,0.05336,0.03876,0.00266
93,-0.09045,-0.01131,0.00053
94,0.03951,-0.00491,0.02823
95,0.02353,-0.01984,-0.01225
96,0.00223,0.01746,0.00372
97,-0.01376,-0.00066,-0.03036
98,-0.03613,-0.01025,-0.01013
99,0.05441,-0.01877,-0.02397
100,-0.01909,0.01958,-0.04422
101,-0.02548,-0.01877,-0.04634
102,0.05122,0.01318,-0.01332
103,0.01927,-0.00066,-0.00479
104,-0.04358,-0.02196,0.00586
105,0.02672,-0.00279,0.03142
106,0.01714,0.00041,0.01437
107,0.01288,0.00786,-0.00479
108,-0.01802,-0.00491,0.00266
109,-0.0063,0.03769,-0.0016
110,-0.03825,-0.01558,-0.0016
111,-0.03506,0.02385,0.00372
112,-0.07341,-0.0177,-0.02611
113,-0.01695,0.00893,-0.01546
114,-0.00949,0.02385,-0.0325
115,-0.05424,0.00574,-0.01758
116,0.03204,0.03769,0.00905
117,-0.0063,-0.00598,0.03568
118,0.0246,0.01746,0.02609
119,0.01395,-0.01025,0.04846
120,0.01074,0.00146,0.02397
121,0.04697,-0.00066,0.06018
122,-0.05211,-0.03156,0.04634
123,-0.00523,-0.01344,0.03355
124,-0.02121,-0.01451,-0.00479
125,0.015,0.04089,-0.01546
126,0.02672,0.02065,-0.05487
127,0.00861,0.04727,-0.02504
128,-0.00737,0.07071,0.00266
129,0.00223,0.00574,0.0229
130,0.04164,0.01213,0.05911
131,0.03951,0.02597,0.04953
132,0.00223,-0.00705,0.01758
133,0.015,0.02917,0.01012
134,-0.01588,-0.01558,0.00905
135,0.02139,0.01851,0.02184
136,0.02672,0.00253,0.01437
137,0.00648,-0.05711,0.02077
138,0.03951,0.04727,0.03674
139,-0.0553,-0.03474,0.01758
140,0.00223,0.00681,0.02716
141,-0.00949,-0.03049,0.01225
142,-0.04678,-0.01131,0.00266
143,-0.00523,0.02171,0.01651
144,-0.08087,-0.01344,-0.00479
145,-0.0798,-0.03368,0.08469
146,-0.07874,0.04089,0.06976
147,-0.03081,-0.01451,-0.008
148,0.02779,0.10693,-0.04208
149,-0.00523,0.02597,-0.06445
150,-0.06276,-0.10825,0.03674
151,0.0885,0.19322,-0.01546
152,-0.1597,-0.23715,-0.05806
153,0.00755,-0.00705,0.00159
154,0.1407,0.06432,0.0442
155,0.00967,-0.0177,0.06339
156,-0.00949,0.0249,0.06871
157,-0.06808,0.0036,0.03995
158,-0.0063,0.03236,-0.01225
159,-0.0063,0.0313,-0.0293
160,-0.04358,-0.0273,-0.10173
161,-0.03081,-0.00066,-0.06764
162,-0.03186,-0.06883,-0.06659
163,-0.06702,-0.0486,-0.06445
164,-0.03081,-0.09866,-0.01013
165,-0.00204,-0.06139,0.0197
166,0.18439,0.00041,0.00479
167,-0.00204,-0.25206,0.01651
168,0.06187,-0.08588,0.01012
169,0.24936,0.2337,0.00693
170,-0.11922,-0.00172,-0.04848
171,-0.14798,0.02597,-0.02397
172,-0.04678,-0.01451,-0.03462
173,-0.11922,0.03876,-0.07936
174,-0.11389,-0.01877,-0.03783
175,-0.03825,0.03023,-0.01118
176,-0.0489,-0.00598,-0.0229
177,0.05762,0.07071,0.02502
178,-0.01695,-0.02835,0.01118
179,-0.01802,-0.01877,0.05167
180,0.03951,0.03876,0.02077
181,-0.0553,-0.10185,0.0229
182,0.08745,0.06432,0.03355
183,-0.03506,-0.05179,0.00905
184,0.00648,0.06645,0.03249
185,-0.04146,-0.07523,0.05486
186,-0.01163,-0.03474,0.05806
187,0.07253,0.00893,0.06232
188,0.05229,0.00467,0.00798
189,-0.0127,-0.01344,0.01544
190,-0.03506,-0.04327,-0.00586
191,0.00755,0.01213,0.03781
192,0.00542,0.05367,0.00159
193,-0.03506,-0.00812,0.01118
194,-0.0063,0.02597,-0.00267
195,-0.07661,-0.02942,-0.04527
196,0.06081,0.03236,-0.05699
197,-0.00949,0.00253,-0.06871
198,0.03311,0.00574,-0.05592
199,-0.01802,0.03236,-0.03036
200,0.05441,0.0558,-0.01865
201,-0.0031,0.00681,-0.02184
202,0.01074,-0.01877,-0.00053
203,0.02565,-0.00491,-0.02611
204,-0.01482,-0.05818,-0.0293
205,-0.03081,-0.01131,-0.06871
206,0.06827,0.02917,-0.03143
207,-0.00204,-0.04114,-0.03995
208,-0.00098,0.03236,-0.03143
209,0.01074,0.04622,-0.01439
210,-0.04253,0.00681,-0.01332
211,0.01074,0.01851,0.00266
212,0.01927,-0.00172,0.00905
213,0.01395,0.03343,0.02077
214,-0.06383,0.00467,0.02077
215,-0.03506,0.02704,0.02502
216,0.07678,0.02171,0.03355
217,0.05441,-0.00812,0.02823
218,0.02246,-0.01984,0.0229
219,0.03099,-0.03581,-0.01651
220,-0.03825,-0.03688,-0.02611
221,-0.04253,-0.02303,-0.04634
222,-0.02016,-0.06032,-0.05806
223,0.02246,0.04408,-0.06871
224,0.01927,0.04727,-0.0506
225,-0.00204,0.00999,-0.01225
226,-0.0127,0.01106,0.0293
227,-0.0127,0.00467,0.00372
228,0.00967,0.0313,0.01331
229,0.0182,-0.01025,-0.00267
230,-0.01695,-0.00812,0.00159
231,0.01074,-0.02623,-0.00053
232,-0.0276,0.00893,-0.00693
233,0.02565,0.02385,0.01863
234,0.02246,-0.01663,-0.008
235,-0.01376,-0.01131,0.02397
236,0.015,0.01639,0.01225
237,0.02353,0.00681,0.0293
238,-0.04146,0.00893,0.03249
239,0.15349,-0.01984,0.00586
240,-0.01163,-0.07523,-0.02184
241,0.08424,0.04301,-0.0325
242,0.11194,0.03555,-0.008
243,-0.17888,-0.00491,0.03568
244,0.00116,0.0558,0.05699
245,-0.00417,-0.04007,0.01118
246,0.06401,-0.06776,-0.08896
247,0.09917,0.15274,0.19334
248,0.21741,-0.05392,-0.12411
249,-0.0063,-0.12743,-0.10387
250,-0.034,-0.01025,0.06018
251,-0.08406,0.05687,-0.03143
